0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.590000e-07,0.000000e+00,1.795000e-07
2,k,2,0,8,3.000000e-07,0.000000e+00,3.750000e-08
3,k,2,4,24,4.080000e-07,1.666667e-01,1.700000e-08
4,k,2,23,64,6.770000e-07,3.593750e-01,1.057812e-08
5,k,2,77,160,1.243000e-06,4.812500e-01,7.768750e-09
6,k,2,211,384,2.635000e-06,5.494792e-01,6.861979e-09
7,k,2,564,896,6.419000e-06,6.294643e-01,7.164062e-09
8,k,2,1362,2048,1.613400e-05,6.650391e-01,7.877930e-09
9,k,2,3266,4608,3.346500e-05,7.087674e-01,7.262370e-09
10,k,2,7547,10240,8.517800e-05,7.370117e-01,8.318164e-09
11,k,2,17136,22528,1.899580e-04,7.606534e-01,8.432085e-09
12,k,2,38320,49152,4.386550e-04,7.796224e-01,8.924459e-09
13,k,2,84916,106496,9.444170e-04,7.973633e-01,8.868098e-09
14,k,2,186241,229376,2.123976e-03,8.119463e-01,9.259801e-09
15,k,2,405139,491520,4.749703e-03,8.242574e-01,9.663295e-09
16,k,2,875651,1048576,1.617376e-02,8.350859e-01,1.542450e-08
17,k,2,1882943,2228224,3.572678e-02,8.450421e-01,1.603375e-08
18,k,2,4028046,4718592,8.289585e-02,8.536542e-01,1.756792e-08
19,k,2,8580611,9961472,2.050331e-01,8.613798e-01,2.058261e-08
20,k,2,18209976,20971520,4.990031e-01,8.683193e-01,2.379432e-08
21,k,2,38515936,44040192,1.188518e+00,8.745633e-01,2.698712e-08
22,k,2,81225149,92274688,3.021737e+00,8.802538e-01,3.274719e-08
23,k,2,170835503,192937984,7.567152e+00,8.854426e-01,3.922065e-08
24,k,2,358454011,402653184,1.848929e+01,8.902302e-01,4.591865e-08
25,k,2,750461867,838860800,4.435883e+01,8.946203e-01,5.287985e-08
26,k,2,1568023089,1744830464,1.036196e+02,8.986679e-01,5.938664e-08
