0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.250000e-07,0.000000e+00,1.625000e-07
2,k,2,0,8,2.500000e-07,0.000000e+00,3.125000e-08
3,k,2,5,24,3.940000e-07,2.083333e-01,1.641667e-08
4,k,2,22,64,6.170000e-07,3.437500e-01,9.640625e-09
5,k,2,70,160,1.280000e-06,4.375000e-01,8.000000e-09
6,k,2,219,384,2.685000e-06,5.703125e-01,6.992187e-09
7,k,2,566,896,6.045000e-06,6.316964e-01,6.746652e-09
8,k,2,1379,2048,1.445600e-05,6.733398e-01,7.058594e-09
9,k,2,3273,4608,3.598700e-05,7.102865e-01,7.809679e-09
10,k,2,7526,10240,8.315300e-05,7.349609e-01,8.120410e-09
11,k,2,17155,22528,1.883750e-04,7.614968e-01,8.361816e-09
12,k,2,38388,49152,4.169060e-04,7.810059e-01,8.481974e-09
13,k,2,85003,106496,9.369640e-04,7.981802e-01,8.798114e-09
14,k,2,186155,229376,2.362953e-03,8.115714e-01,1.030166e-08
15,k,2,405318,491520,5.110156e-03,8.246216e-01,1.039664e-08
16,k,2,876136,1048576,1.551710e-02,8.355484e-01,1.479826e-08
17,k,2,1882766,2228224,3.552239e-02,8.449626e-01,1.594202e-08
18,k,2,4027182,4718592,8.229473e-02,8.534711e-01,1.744053e-08
19,k,2,8579923,9961472,2.050054e-01,8.613108e-01,2.057983e-08
20,k,2,18209544,20971520,4.891336e-01,8.682987e-01,2.332371e-08
21,k,2,38515283,44040192,1.223708e+00,8.745485e-01,2.778617e-08
22,k,2,81223312,92274688,2.770537e+00,8.802339e-01,3.002489e-08
23,k,2,170835354,192937984,7.649182e+00,8.854418e-01,3.964581e-08
24,k,2,358451842,402653184,1.862230e+01,8.902248e-01,4.624898e-08
25,k,2,750459578,838860800,4.524514e+01,8.946175e-01,5.393641e-08
26,k,2,1568024683,1744830464,1.039938e+02,8.986688e-01,5.960109e-08
