0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,4.100000e-07,0.000000e+00,2.050000e-07
2,k,2,0,8,3.350000e-07,0.000000e+00,4.187500e-08
3,k,2,4,24,4.590000e-07,1.666667e-01,1.912500e-08
4,k,2,23,64,7.360000e-07,3.593750e-01,1.150000e-08
5,k,2,81,160,1.471000e-06,5.062500e-01,9.193750e-09
6,k,2,213,384,3.081000e-06,5.546875e-01,8.023437e-09
7,k,2,564,896,7.170000e-06,6.294643e-01,8.002232e-09
8,k,2,1368,2048,1.620100e-05,6.679688e-01,7.910645e-09
9,k,2,3278,4608,3.824000e-05,7.113715e-01,8.298611e-09
10,k,2,7542,10240,9.767200e-05,7.365234e-01,9.538281e-09
11,k,2,17136,22528,2.186030e-04,7.606534e-01,9.703613e-09
12,k,2,38366,49152,4.821380e-04,7.805583e-01,9.809123e-09
13,k,2,84901,106496,1.079886e-03,7.972224e-01,1.014016e-08
14,k,2,186274,229376,2.410575e-03,8.120902e-01,1.050927e-08
15,k,2,405303,491520,4.798346e-03,8.245911e-01,9.762260e-09
16,k,2,875813,1048576,1.542230e-02,8.352404e-01,1.470785e-08
17,k,2,1882818,2228224,3.552531e-02,8.449860e-01,1.594333e-08
18,k,2,4027371,4718592,8.275681e-02,8.535112e-01,1.753845e-08
19,k,2,8580173,9961472,2.026347e-01,8.613359e-01,2.034185e-08
20,k,2,18208587,20971520,4.829217e-01,8.682531e-01,2.302750e-08
21,k,2,38515873,44040192,1.180246e+00,8.745619e-01,2.679928e-08
22,k,2,81224355,92274688,2.897376e+00,8.802452e-01,3.139947e-08
23,k,2,170836605,192937984,7.593704e+00,8.854483e-01,3.935826e-08
24,k,2,358449997,402653184,1.844806e+01,8.902202e-01,4.581624e-08
25,k,2,750451876,838860800,4.423341e+01,8.946083e-01,5.273034e-08
26,k,2,1568027844,1744830464,1.030555e+02,8.986706e-01,5.906334e-08
