0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,4.130000e-07,0.000000e+00,2.065000e-07
2,k,2,0,8,2.990000e-07,0.000000e+00,3.737500e-08
3,k,2,3,24,3.930000e-07,1.250000e-01,1.637500e-08
4,k,2,24,64,7.010000e-07,3.750000e-01,1.095313e-08
5,k,2,76,160,1.240000e-06,4.750000e-01,7.750000e-09
6,k,2,212,384,2.720000e-06,5.520833e-01,7.083333e-09
7,k,2,554,896,6.659000e-06,6.183036e-01,7.431920e-09
8,k,2,1380,2048,1.473700e-05,6.738281e-01,7.195801e-09
9,k,2,3270,4608,3.339200e-05,7.096354e-01,7.246528e-09
10,k,2,7532,10240,8.494800e-05,7.355469e-01,8.295703e-09
11,k,2,17133,22528,1.888610e-04,7.605202e-01,8.383390e-09
12,k,2,38322,49152,4.373570e-04,7.796631e-01,8.898051e-09
13,k,2,84968,106496,9.440080e-04,7.978516e-01,8.864258e-09
14,k,2,186234,229376,2.174216e-03,8.119158e-01,9.478830e-09
15,k,2,404997,491520,5.054562e-03,8.239685e-01,1.028353e-08
16,k,2,875760,1048576,1.552529e-02,8.351898e-01,1.480607e-08
17,k,2,1882774,2228224,3.570027e-02,8.449662e-01,1.602185e-08
18,k,2,4027292,4718592,8.256137e-02,8.534944e-01,1.749704e-08
19,k,2,8580138,9961472,2.050194e-01,8.613323e-01,2.058124e-08
20,k,2,18208843,20971520,4.890787e-01,8.682653e-01,2.332109e-08
21,k,2,38514383,44040192,1.222251e+00,8.745280e-01,2.775307e-08
22,k,2,81224835,92274688,2.813031e+00,8.802504e-01,3.048540e-08
23,k,2,170836902,192937984,7.664225e+00,8.854498e-01,3.972377e-08
24,k,2,358456219,402653184,1.868854e+01,8.902357e-01,4.641349e-08
25,k,2,750465392,838860800,4.480657e+01,8.946245e-01,5.341360e-08
26,k,2,1568026399,1744830464,1.041194e+02,8.986698e-01,5.967305e-08
