0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.750000e-07,0.000000e+00,1.875000e-07
2,k,2,0,8,2.420000e-07,0.000000e+00,3.025000e-08
3,k,2,6,24,4.040000e-07,2.500000e-01,1.683333e-08
4,k,2,22,64,6.200000e-07,3.437500e-01,9.687500e-09
5,k,2,78,160,1.228000e-06,4.875000e-01,7.675000e-09
6,k,2,219,384,2.652000e-06,5.703125e-01,6.906250e-09
7,k,2,561,896,6.074000e-06,6.261161e-01,6.779018e-09
8,k,2,1361,2048,1.415000e-05,6.645508e-01,6.909180e-09
9,k,2,3264,4608,3.232100e-05,7.083333e-01,7.014106e-09
10,k,2,7530,10240,8.465600e-05,7.353516e-01,8.267188e-09
11,k,2,17155,22528,1.876970e-04,7.614968e-01,8.331721e-09
12,k,2,38312,49152,4.148670e-04,7.794596e-01,8.440491e-09
13,k,2,84879,106496,9.633700e-04,7.970159e-01,9.046067e-09
14,k,2,186292,229376,2.087617e-03,8.121687e-01,9.101288e-09
15,k,2,405131,491520,4.509372e-03,8.242411e-01,9.174341e-09
16,k,2,875910,1048576,1.627504e-02,8.353329e-01,1.552108e-08
17,k,2,1882483,2228224,3.555922e-02,8.448356e-01,1.595855e-08
18,k,2,4028384,4718592,8.248485e-02,8.537259e-01,1.748082e-08
19,k,2,8580162,9961472,2.036539e-01,8.613348e-01,2.044416e-08
20,k,2,18209722,20971520,4.970352e-01,8.683072e-01,2.370049e-08
21,k,2,38514771,44040192,1.242277e+00,8.745369e-01,2.820781e-08
22,k,2,81222580,92274688,2.990331e+00,8.802260e-01,3.240684e-08
23,k,2,170836736,192937984,7.757509e+00,8.854490e-01,4.020726e-08
24,k,2,358453189,402653184,1.890186e+01,8.902281e-01,4.694328e-08
25,k,2,750459269,838860800,4.519948e+01,8.946172e-01,5.388198e-08
26,k,2,1568032044,1744830464,1.051407e+02,8.986730e-01,6.025842e-08
