0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.540000e-07,0.000000e+00,1.770000e-07
2,k,2,0,8,3.120000e-07,0.000000e+00,3.900000e-08
3,k,2,6,24,4.140000e-07,2.500000e-01,1.725000e-08
4,k,2,25,64,7.090000e-07,3.906250e-01,1.107813e-08
5,k,2,74,160,1.306000e-06,4.625000e-01,8.162500e-09
6,k,2,218,384,2.940000e-06,5.677083e-01,7.656250e-09
7,k,2,557,896,6.327000e-06,6.216518e-01,7.061384e-09
8,k,2,1374,2048,1.442400e-05,6.708984e-01,7.042969e-09
9,k,2,3252,4608,3.408800e-05,7.057292e-01,7.397569e-09
10,k,2,7555,10240,8.575300e-05,7.377930e-01,8.374316e-09
11,k,2,17154,22528,1.906540e-04,7.614524e-01,8.462979e-09
12,k,2,38320,49152,4.238400e-04,7.796224e-01,8.623047e-09
13,k,2,84898,106496,9.458630e-04,7.971943e-01,8.881676e-09
14,k,2,186124,229376,2.359356e-03,8.114362e-01,1.028598e-08
15,k,2,405328,491520,5.065306e-03,8.246419e-01,1.030539e-08
16,k,2,875958,1048576,1.538891e-02,8.353786e-01,1.467601e-08
17,k,2,1882890,2228224,3.569002e-02,8.450183e-01,1.601725e-08
18,k,2,4027779,4718592,8.253727e-02,8.535976e-01,1.749193e-08
19,k,2,8580386,9961472,2.037087e-01,8.613572e-01,2.044966e-08
20,k,2,18208032,20971520,4.550120e-01,8.682266e-01,2.169666e-08
21,k,2,38515437,44040192,1.132793e+00,8.745520e-01,2.572181e-08
22,k,2,81224801,92274688,2.740058e+00,8.802501e-01,2.969458e-08
23,k,2,170834879,192937984,7.093867e+00,8.854393e-01,3.676760e-08
24,k,2,358452766,402653184,1.756661e+01,8.902271e-01,4.362715e-08
25,k,2,750461807,838860800,4.257893e+01,8.946202e-01,5.075804e-08
26,k,2,1568032296,1744830464,9.973735e+01,8.986732e-01,5.716163e-08
