0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.510000e-07,0.000000e+00,1.755000e-07
2,k,2,1,8,3.210000e-07,1.250000e-01,4.012500e-08
3,k,2,3,24,3.870000e-07,1.250000e-01,1.612500e-08
4,k,2,26,64,6.290000e-07,4.062500e-01,9.828125e-09
5,k,2,76,160,1.256000e-06,4.750000e-01,7.850000e-09
6,k,2,224,384,2.745000e-06,5.833333e-01,7.148437e-09
7,k,2,566,896,6.105000e-06,6.316964e-01,6.813616e-09
8,k,2,1369,2048,1.430700e-05,6.684570e-01,6.985840e-09
9,k,2,3267,4608,3.364700e-05,7.089844e-01,7.301866e-09
10,k,2,7534,10240,8.513600e-05,7.357422e-01,8.314063e-09
11,k,2,17144,22528,1.881190e-04,7.610085e-01,8.350453e-09
12,k,2,38389,49152,4.177340e-04,7.810262e-01,8.498820e-09
13,k,2,84984,106496,9.515270e-04,7.980018e-01,8.934861e-09
14,k,2,186171,229376,2.083060e-03,8.116411e-01,9.081421e-09
15,k,2,405079,491520,4.989513e-03,8.241353e-01,1.015119e-08
16,k,2,876228,1048576,1.569895e-02,8.356361e-01,1.497169e-08
17,k,2,1882726,2228224,3.574170e-02,8.449447e-01,1.604044e-08
18,k,2,4027590,4718592,8.276636e-02,8.535576e-01,1.754048e-08
19,k,2,8580211,9961472,2.025111e-01,8.613397e-01,2.032944e-08
20,k,2,18209043,20971520,4.939309e-01,8.682748e-01,2.355246e-08
21,k,2,38516526,44040192,1.237048e+00,8.745767e-01,2.808907e-08
22,k,2,81225011,92274688,2.958578e+00,8.802524e-01,3.206273e-08
23,k,2,170836851,192937984,7.739088e+00,8.854495e-01,4.011179e-08
24,k,2,358455777,402653184,1.880484e+01,8.902346e-01,4.670233e-08
25,k,2,750456502,838860800,4.506927e+01,8.946139e-01,5.372675e-08
26,k,2,1568027861,1744830464,1.047894e+02,8.986706e-01,6.005704e-08
