0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,4.190000e-07,0.000000e+00,2.095000e-07
2,k,2,0,8,3.030000e-07,0.000000e+00,3.787500e-08
3,k,2,3,24,3.840000e-07,1.250000e-01,1.600000e-08
4,k,2,24,64,6.810000e-07,3.750000e-01,1.064063e-08
5,k,2,74,160,1.327000e-06,4.625000e-01,8.293750e-09
6,k,2,214,384,2.796000e-06,5.572917e-01,7.281250e-09
7,k,2,559,896,6.039000e-06,6.238839e-01,6.739955e-09
8,k,2,1377,2048,1.469400e-05,6.723633e-01,7.174805e-09
9,k,2,3253,4608,3.264900e-05,7.059462e-01,7.085286e-09
10,k,2,7540,10240,8.433700e-05,7.363281e-01,8.236035e-09
11,k,2,17157,22528,1.876930e-04,7.615856e-01,8.331543e-09
12,k,2,38344,49152,4.172300e-04,7.801107e-01,8.488566e-09
13,k,2,84914,106496,9.559510e-04,7.973445e-01,8.976403e-09
14,k,2,186213,229376,2.085028e-03,8.118243e-01,9.090001e-09
15,k,2,404975,491520,5.015461e-03,8.239237e-01,1.020398e-08
16,k,2,875959,1048576,1.574708e-02,8.353796e-01,1.501759e-08
17,k,2,1882739,2228224,3.560524e-02,8.449505e-01,1.597920e-08
18,k,2,4027913,4718592,8.240590e-02,8.536260e-01,1.746409e-08
19,k,2,8580040,9961472,2.031521e-01,8.613225e-01,2.039378e-08
20,k,2,18209876,20971520,4.826262e-01,8.683146e-01,2.301341e-08
21,k,2,38515057,44040192,1.187914e+00,8.745433e-01,2.697340e-08
22,k,2,81223443,92274688,2.845528e+00,8.802354e-01,3.083758e-08
23,k,2,170834183,192937984,7.531480e+00,8.854357e-01,3.903576e-08
24,k,2,358451581,402653184,1.832670e+01,8.902241e-01,4.551485e-08
25,k,2,750462222,838860800,4.392057e+01,8.946207e-01,5.235740e-08
26,k,2,1568034230,1744830464,1.026829e+02,8.986743e-01,5.884978e-08
