0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.900000e-07,0.000000e+00,1.950000e-07
2,k,2,0,8,3.360000e-07,0.000000e+00,4.200000e-08
3,k,2,7,24,4.550000e-07,2.916667e-01,1.895833e-08
4,k,2,23,64,7.820000e-07,3.593750e-01,1.221875e-08
5,k,2,82,160,1.852000e-06,5.125000e-01,1.157500e-08
6,k,2,225,384,4.108000e-06,5.859375e-01,1.069792e-08
7,k,2,543,896,7.537000e-06,6.060268e-01,8.411830e-09
8,k,2,1374,2048,1.658500e-05,6.708984e-01,8.098145e-09
9,k,2,3290,4608,3.887300e-05,7.139757e-01,8.435981e-09
10,k,2,7533,10240,9.996000e-05,7.356445e-01,9.761719e-09
11,k,2,17093,22528,2.209630e-04,7.587447e-01,9.808372e-09
12,k,2,38336,49152,4.891230e-04,7.799479e-01,9.951233e-09
13,k,2,84893,106496,1.095265e-03,7.971473e-01,1.028456e-08
14,k,2,186108,229376,2.450816e-03,8.113665e-01,1.068471e-08
15,k,2,405177,491520,4.977926e-03,8.243347e-01,1.012762e-08
16,k,2,876037,1048576,1.552218e-02,8.354540e-01,1.480310e-08
17,k,2,1882811,2228224,3.582733e-02,8.449828e-01,1.607887e-08
18,k,2,4028421,4718592,8.292182e-02,8.537337e-01,1.757343e-08
19,k,2,8580866,9961472,2.039786e-01,8.614054e-01,2.047675e-08
20,k,2,18208558,20971520,4.854658e-01,8.682517e-01,2.314881e-08
21,k,2,38513804,44040192,1.072250e+00,8.745149e-01,2.434708e-08
22,k,2,81223805,92274688,2.892591e+00,8.802393e-01,3.134761e-08
23,k,2,170836759,192937984,7.574627e+00,8.854491e-01,3.925939e-08
24,k,2,358452516,402653184,1.847053e+01,8.902265e-01,4.587207e-08
25,k,2,750458771,838860800,4.418338e+01,8.946166e-01,5.267069e-08
26,k,2,1568031999,1744830464,1.032380e+02,8.986730e-01,5.916792e-08
