0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,4.120000e-07,0.000000e+00,2.060000e-07
2,k,2,1,8,3.190000e-07,1.250000e-01,3.987500e-08
3,k,2,5,24,4.250000e-07,2.083333e-01,1.770833e-08
4,k,2,23,64,6.310000e-07,3.593750e-01,9.859375e-09
5,k,2,76,160,1.238000e-06,4.750000e-01,7.737500e-09
6,k,2,220,384,2.751000e-06,5.729167e-01,7.164062e-09
7,k,2,568,896,5.986000e-06,6.339286e-01,6.680804e-09
8,k,2,1373,2048,1.404600e-05,6.704102e-01,6.858398e-09
9,k,2,3251,4608,3.267300e-05,7.055122e-01,7.090495e-09
10,k,2,7564,10240,8.446600e-05,7.386719e-01,8.248633e-09
11,k,2,17119,22528,1.877940e-04,7.598988e-01,8.336026e-09
12,k,2,38376,49152,4.660760e-04,7.807617e-01,9.482340e-09
13,k,2,84965,106496,1.075346e-03,7.978234e-01,1.009752e-08
14,k,2,186213,229376,2.421676e-03,8.118243e-01,1.055767e-08
15,k,2,405107,491520,5.023021e-03,8.241923e-01,1.021936e-08
16,k,2,875946,1048576,1.540242e-02,8.353672e-01,1.468889e-08
17,k,2,1882947,2228224,3.568057e-02,8.450439e-01,1.601301e-08
18,k,2,4027624,4718592,8.259515e-02,8.535648e-01,1.750419e-08
19,k,2,8579952,9961472,2.035425e-01,8.613137e-01,2.043298e-08
20,k,2,18209302,20971520,4.457352e-01,8.682872e-01,2.125431e-08
21,k,2,38512733,44040192,1.092254e+00,8.744906e-01,2.480131e-08
22,k,2,81224066,92274688,2.702392e+00,8.802421e-01,2.928638e-08
23,k,2,170835995,192937984,7.071996e+00,8.854451e-01,3.665424e-08
24,k,2,358454794,402653184,1.749358e+01,8.902321e-01,4.344577e-08
25,k,2,750461029,838860800,4.248175e+01,8.946193e-01,5.064219e-08
26,k,2,1568024331,1744830464,9.996745e+01,8.986686e-01,5.729351e-08
