0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.330000e-07,0.000000e+00,1.665000e-07
2,k,2,0,8,3.080000e-07,0.000000e+00,3.850000e-08
3,k,2,5,24,4.180000e-07,2.083333e-01,1.741667e-08
4,k,2,25,64,6.820000e-07,3.906250e-01,1.065625e-08
5,k,2,75,160,1.318000e-06,4.687500e-01,8.237500e-09
6,k,2,212,384,2.743000e-06,5.520833e-01,7.143229e-09
7,k,2,557,896,6.006000e-06,6.216518e-01,6.703125e-09
8,k,2,1365,2048,1.417400e-05,6.665039e-01,6.920898e-09
9,k,2,3264,4608,4.898200e-05,7.083333e-01,1.062977e-08
10,k,2,7528,10240,8.872600e-05,7.351562e-01,8.664648e-09
11,k,2,17164,22528,1.896390e-04,7.618963e-01,8.417924e-09
12,k,2,38444,49152,4.188430e-04,7.821452e-01,8.521383e-09
13,k,2,84902,106496,9.405780e-04,7.972318e-01,8.832050e-09
14,k,2,186256,229376,2.308621e-03,8.120117e-01,1.006479e-08
15,k,2,405257,491520,5.028645e-03,8.244975e-01,1.023080e-08
16,k,2,876017,1048576,1.540873e-02,8.354349e-01,1.469491e-08
17,k,2,1882744,2228224,3.572585e-02,8.449528e-01,1.603333e-08
18,k,2,4027882,4718592,8.251927e-02,8.536195e-01,1.748811e-08
19,k,2,8580549,9961472,2.044776e-01,8.613736e-01,2.052685e-08
20,k,2,18209022,20971520,4.792657e-01,8.682738e-01,2.285317e-08
21,k,2,38515216,44040192,1.195513e+00,8.745470e-01,2.714595e-08
22,k,2,81222896,92274688,2.733019e+00,8.802294e-01,2.961830e-08
23,k,2,170834993,192937984,7.307228e+00,8.854399e-01,3.787346e-08
24,k,2,358447845,402653184,1.809620e+01,8.902149e-01,4.494239e-08
25,k,2,750460158,838860800,4.358171e+01,8.946182e-01,5.195344e-08
26,k,2,1568032159,1744830464,1.016510e+02,8.986731e-01,5.825840e-08
