0 0 0 0.000000e+00 0.000000e+00
1 4 4 3.460000e-07 8.650000e-08
2 32 32 1.050000e-07 3.281250e-09
3 192 192 1.408000e-06 7.333333e-09
4 1024 1024 7.575000e-06 7.397461e-09
5 5120 5120 3.762800e-05 7.349219e-09
6 24576 24576 1.770530e-04 7.204305e-09
7 114688 114688 8.669230e-04 7.558969e-09
8 524288 524288 3.819610e-03 7.285328e-09
9 2359296 2359296 1.725650e-02 7.314259e-09
10 10485760 10485760 7.876364e-02 7.511486e-09
11 46137344 46137344 3.422439e-01 7.417937e-09
12 201326592 201326592 1.480911e+00 7.355766e-09
13 872415232 872415232 6.914843e+00 7.926092e-09
14 3758096384 3758096384 2.844728e+01 7.569597e-09
