
1  & 0 & 7.96e-07  & 2 & 5.84e-07 \\
2  & 0 & 8.90e-07  & 8 & 4.91e-07 \\
3  & 0 & 1.20e-06  & 24 & 7.63e-07 \\
4  & 0 & 2.13e-06  & 64 & 1.32e-06 \\
5  & 0 & 5.81e-06  & 160 & 3.00e-06 \\
6  & 0 & 5.02e-06  & 384 & 6.84e-06 \\
7  & 0 & 9.91e-06  & 896 & 1.47e-05 \\
8  & 0 & 2.04e-05  & 2048 & 3.48e-05 \\
9  & 0 & 3.78e-05  & 4608 & 7.54e-05 \\
10  & 0 & 7.43e-05  & 10240 & 1.67e-04 \\
11  & 0 & 1.51e-04  & 22528 & 3.68e-04 \\
12  & 0 & 3.05e-04  & 49152 & 8.41e-04 \\
13  & 0 & 6.03e-04  & 106496 & 1.75e-03 \\
14  & 0 & 1.22e-03  & 229376 & 2.49e-03 \\
15  & 0 & 2.46e-03  & 491520 & 4.37e-03 \\
16  & 0 & 5.09e-03  & 1048576 & 1.02e-02 \\
17  & 0 & 1.03e-02  & 2228224 & 2.21e-02 \\
18  & 0 & 2.03e-02  & 4718592 & 4.91e-02 \\
19  & 0 & 4.00e-02  & 9961472 & 1.06e-01 \\
20  & 0 & 7.99e-02  & 20971520 & 2.23e-01 \\
21  & 0 & 1.60e-01  & 44040192 & 4.95e-01 \\
22  & 0 & 3.18e-01  & 92274688 & 1.06e+00 \\
23  & 0 & 6.36e-01  & 192937984 & 1.95e+00 \\
24  & 0 & 1.28e+00  & 402653184 & 4.10e+00 \\
\textbf{Media}  & 0.00 & 1.06e-01  & 30870077.00 & 3.21e-01 \\
