
1  & 1 & 1.43e-05  & 0 & 6.70e-07 \\
2  & 6 & 4.84e-06  & 0 & 6.33e-07 \\
3  & 23 & 4.23e-06  & 6 & 1.07e-06 \\
4  & 65 & 8.42e-06  & 22 & 1.47e-06 \\
5  & 171 & 1.70e-05  & 81 & 3.62e-06 \\
6  & 459 & 3.64e-05  & 222 & 5.64e-06 \\
7  & 1121 & 7.45e-05  & 564 & 1.18e-05 \\
8  & 2546 & 1.58e-04  & 1376 & 2.66e-05 \\
9  & 5877 & 3.37e-04  & 3252 & 6.20e-05 \\
10  & 13321 & 7.31e-04  & 7556 & 1.61e-04 \\
11  & 29546 & 1.61e-03  & 17166 & 3.58e-04 \\
12  & 65157 & 3.47e-03  & 38351 & 7.95e-04 \\
13  & 142063 & 7.07e-03  & 84936 & 1.80e-03 \\
14  & 308609 & 1.05e-02  & 186181 & 4.00e-03 \\
15  & 665508 & 1.94e-02  & 405107 & 4.44e-03 \\
16  & 1428576 & 4.38e-02  & 875875 & 1.06e-02 \\
17  & 3052640 & 1.03e-01  & 1882525 & 3.58e-02 \\
18  & 6494166 & 2.39e-01  & 4028219 & 8.32e-02 \\
19  & 13771390 & 5.57e-01  & 8578811 & 2.05e-01 \\
20  & 29105921 & 1.26e+00  & 18209049 & 5.03e-01 \\
21  & 61339434 & 2.82e+00  & 38514182 & 1.24e+00 \\
22  & 128935384 & 6.40e+00  & 81224965 & 3.02e+00 \\
23  & 270412012 & 1.45e+01  & 170837877 & 7.50e+00 \\
24  & 565926413 & 3.40e+01  & 358448049 & 1.85e+01 \\
\textbf{Media}  & 45070850.00 & 2.50e+00  & 28472682.00 & 1.30e+00 \\
