0,h,0,0,0,0,0.000000e+00,0.000000e+00
1,h,0,13119488,1,1,1.347400e-05,1.000000e+00,1.347400e-05
2,h,0,13119488,6,10,4.700000e-06,6.000000e-01,4.700000e-07
3,h,0,13119488,24,36,4.257000e-06,6.666667e-01,1.182500e-07
4,h,0,13119488,66,91,8.661000e-06,7.252747e-01,9.517582e-08
5,h,0,13119488,182,249,1.800300e-05,7.309237e-01,7.230120e-08
6,h,0,13119488,451,568,3.670800e-05,7.940141e-01,6.462676e-08
7,h,0,13119488,1081,1398,7.622600e-05,7.732475e-01,5.452504e-08
8,h,0,13119488,2576,3061,1.613990e-04,8.415550e-01,5.272754e-08
9,h,0,13119488,5841,6644,3.452610e-04,8.791391e-01,5.196583e-08
10,h,0,13119488,13360,15346,7.381270e-04,8.705852e-01,4.809898e-08
11,h,0,13254656,29518,32753,1.654874e-03,9.012304e-01,5.052588e-08
12,h,0,13524992,65099,73711,3.557075e-03,8.831653e-01,4.825704e-08
13,h,0,14065664,142038,155630,4.749113e-03,9.126647e-01,3.051541e-08
14,h,0,15011840,308749,344044,8.734021e-03,8.974114e-01,2.538635e-08
15,h,0,17035264,666209,720875,1.956159e-02,9.241672e-01,2.713590e-08
16,h,0,20959232,1429359,1572841,4.423386e-02,9.087753e-01,2.812354e-08
17,h,0,28770304,3051947,3276776,1.039291e-01,9.313871e-01,3.171687e-08
18,h,0,44478464,6495577,6815719,2.400714e-01,9.530289e-01,3.522319e-08
19,h,0,75980800,13769931,14680037,5.660267e-01,9.380038e-01,3.855758e-08
20,h,0,138825728,29103838,30408676,1.264726e+00,9.570899e-01,4.159097e-08
21,h,0,264687616,61340016,65011682,2.824656e+00,9.435230e-01,4.344843e-08
22,h,0,516349952,128949935,134217697,6.396780e+00,9.607521e-01,4.765973e-08
23,h,0,1019650048,270413392,285212639,1.449107e+01,9.481115e-01,5.080796e-08
24,h,0,2026311680,565931023,587202526,3.400451e+01,9.637748e-01,5.790935e-08
25,h,0,4039634944,1182060159,1241513948,7.626597e+01,9.521119e-01,6.142981e-08
26,h,0,8066158592,2464474009,2550136795,1.747759e+02,9.664086e-01,6.853591e-08
