
1  & 0 & 0.00e+00  & 0 & 0.00e+00 \\
2  & 0 & 4.14e-06  & 2 & 4.14e-07 \\
3  & 0 & 7.08e-05  & 8 & 9.71e-05 \\
4  & 0 & 2.11e-05  & 24 & 1.32e-05 \\
5  & 0 & 1.90e-05  & 64 & 1.04e-05 \\
6  & 0 & 2.30e-05  & 160 & 1.10e-05 \\
7  & 0 & 2.96e-05  & 384 & 1.34e-05 \\
8  & 0 & 4.15e-05  & 896 & 1.86e-05 \\
9  & 0 & 6.84e-05  & 2048 & 3.86e-05 \\
10  & 0 & 1.22e-04  & 4608 & 6.06e-05 \\
11  & 0 & 2.34e-04  & 10240 & 1.13e-04 \\
12  & 0 & 4.49e-04  & 22528 & 2.29e-04 \\
13  & 0 & 8.86e-04  & 49152 & 4.87e-04 \\
14  & 0 & 1.77e-03  & 106496 & 1.06e-03 \\
15  & 0 & 3.18e-03  & 229376 & 2.19e-03 \\
16  & 0 & 3.86e-03  & 491520 & 4.74e-03 \\
17  & 0 & 7.64e-03  & 1048576 & 1.01e-02 \\
18  & 0 & 1.53e-02  & 2228224 & 2.18e-02 \\
19  & 0 & 2.98e-02  & 4718592 & 4.79e-02 \\
20  & 0 & 5.92e-02  & 9961472 & 1.19e-01 \\
21  & 0 & 1.18e-01  & 20971520 & 2.00e-01 \\
22  & 0 & 2.36e-01  & 44040192 & 4.43e-01 \\
23  & 0 & 4.71e-01  & 92274688 & 8.87e-01 \\
24  & 0 & 9.43e-01  & 192937984 & 1.89e+00 \\
\textbf{Media}  & 0.00 & 7.88e-02  & 15379114.00 & 1.51e-01 \\
