0,k,2,0,0,0,0.000000e+00,0.000000e+00
1,k,2,13119488,2,2,5.980000e-07,2.990000e-07
2,k,2,13119488,8,8,4.590000e-07,5.737500e-08
3,k,2,13119488,24,24,7.580000e-07,3.158333e-08
4,k,2,13119488,64,64,1.345000e-06,2.101563e-08
5,k,2,13119488,160,160,2.852000e-06,1.782500e-08
6,k,2,13119488,384,384,6.442000e-06,1.677604e-08
7,k,2,13119488,896,896,1.481500e-05,1.653460e-08
8,k,2,13119488,2048,2048,3.488100e-05,1.703174e-08
9,k,2,13119488,4608,4608,7.556700e-05,1.639909e-08
10,k,2,13119488,10240,10240,1.671450e-04,1.632275e-08
11,k,2,13119488,22528,22528,3.689920e-04,1.637926e-08
12,k,2,13254656,49152,49152,8.063900e-04,1.640605e-08
13,k,2,13316096,106496,106496,1.761372e-03,1.653933e-08
14,k,2,13524992,229376,229376,3.901117e-03,1.700752e-08
15,k,2,14180352,491520,491520,4.421321e-03,8.995201e-09
16,k,2,15233024,1048576,1048576,1.014789e-02,9.677783e-09
17,k,2,17330176,2228224,2228224,2.177981e-02,9.774515e-09
18,k,2,21524480,4718592,4718592,5.052590e-02,1.070783e-08
19,k,2,29913088,9961472,9961472,1.093013e-01,1.097240e-08
20,k,2,46690304,20971520,20971520,2.141999e-01,1.021385e-08
21,k,2,80244736,44040192,44040192,5.316634e-01,1.207223e-08
22,k,2,147353600,92274688,92274688,1.051086e+00,1.139084e-08
23,k,2,248016896,192937984,192937984,1.963210e+00,1.017534e-08
24,k,2,482897920,402653184,402653184,4.159986e+00,1.033144e-08
25,k,2,952659968,838860800,838860800,8.876328e+00,1.058141e-08
26,k,2,1892184064,1744830464,1744830464,1.927777e+01,1.104851e-08
