
1  & 1 & 1.44e-05  & 0 & 6.56e-07 \\
2  & 6 & 4.81e-06  & 0 & 5.14e-07 \\
3  & 20 & 4.23e-06  & 4 & 9.78e-07 \\
4  & 54 & 8.02e-06  & 20 & 1.21e-06 \\
5  & 132 & 1.58e-05  & 68 & 2.12e-06 \\
6  & 306 & 3.11e-05  & 196 & 4.44e-06 \\
7  & 688 & 6.26e-05  & 516 & 1.01e-05 \\
8  & 1518 & 1.26e-04  & 1284 & 2.29e-05 \\
9  & 3308 & 2.88e-04  & 3076 & 5.26e-05 \\
10  & 7146 & 5.39e-04  & 7172 & 1.41e-04 \\
11  & 15336 & 1.11e-03  & 16388 & 3.28e-04 \\
12  & 32742 & 2.33e-03  & 36868 & 7.18e-04 \\
13  & 69604 & 5.66e-03  & 81924 & 1.58e-03 \\
14  & 147426 & 5.06e-03  & 180228 & 3.43e-03 \\
15  & 311264 & 1.42e-02  & 393220 & 3.45e-03 \\
16  & 655326 & 2.60e-02  & 851972 & 7.41e-03 \\
17  & 1376220 & 4.40e-02  & 1835012 & 2.63e-02 \\
18  & 2883546 & 1.10e-01  & 3932164 & 5.68e-02 \\
19  & 6029272 & 2.24e-01  & 8388612 & 1.22e-01 \\
20  & 12582870 & 3.74e-01  & 17825796 & 2.60e-01 \\
21  & 26214356 & 7.63e-01  & 37748740 & 5.54e-01 \\
22  & 54525906 & 1.89e+00  & 79691780 & 1.17e+00 \\
23  & 113246160 & 3.86e+00  & 167772164 & 2.49e+00 \\
24  & 234880974 & 6.61e+00  & 352321540 & 5.28e+00 \\
\textbf{Media}  & 18874340.00 & 5.81e-01  & 27962031.00 & 4.15e-01 \\
