0,k,2,0,0,0,0.000000e+00,0.000000e+00
1,k,2,13119488,0,0,6.930000e-07,-nan,inf
2,k,2,13119488,0,3,6.090000e-07,0.000000e+00,2.030000e-07
3,k,2,13119488,4,14,1.025000e-06,2.857143e-01,7.321429e-08
4,k,2,13119488,24,45,1.477000e-06,5.333333e-01,3.282222e-08
5,k,2,13119488,78,124,2.771000e-06,6.290323e-01,2.234677e-08
6,k,2,13119488,221,315,5.649000e-06,7.015873e-01,1.793333e-08
7,k,2,13119488,565,762,1.217700e-05,7.414698e-01,1.598031e-08
8,k,2,13119488,1369,1785,2.747900e-05,7.669468e-01,1.539440e-08
9,k,2,13119488,3251,4088,6.576600e-05,7.952544e-01,1.608757e-08
10,k,2,13119488,7538,9207,1.679940e-04,8.187249e-01,1.824633e-08
11,k,2,13119488,17113,20470,3.711590e-04,8.360039e-01,1.813185e-08
12,k,2,13119488,38352,45045,8.201820e-04,8.514153e-01,1.820806e-08
13,k,2,13119488,84920,98292,1.839734e-03,8.639564e-01,1.871703e-08
14,k,2,13316096,186079,212979,2.410483e-03,8.736965e-01,1.131794e-08
15,k,2,13524992,405213,458738,4.544761e-03,8.833212e-01,9.907095e-09
16,k,2,13918208,875769,983025,1.087198e-02,8.908919e-01,1.105972e-08
17,k,2,14970880,1882807,2097136,3.574510e-02,8.977992e-01,1.704472e-08
18,k,2,16543744,4027661,4456431,8.285450e-02,9.037862e-01,1.859212e-08
19,k,2,19689472,8580407,9437166,2.035491e-01,9.092144e-01,2.156888e-08
20,k,2,25980928,18209131,19922925,4.855550e-01,9.139788e-01,2.437167e-08
21,k,2,38563840,38514641,41943020,1.218362e+00,9.182610e-01,2.904802e-08
22,k,2,63729664,81224374,88080363,2.927797e+00,9.221621e-01,3.324006e-08
23,k,2,114061312,170838215,184549354,7.625297e+00,9.257048e-01,4.131847e-08
24,k,2,214724608,358452537,385875945,1.858128e+01,9.289321e-01,4.815350e-08
25,k,2,416051200,750456606,805306344,4.458201e+01,9.318896e-01,5.536031e-08
26,k,2,818704384,1568023515,1677721575,1.038389e+02,9.346149e-01,6.189281e-08
