16384,106496,5,128.00,24838,122880.00,15728640.00,24.16,3.68e-02,3.91e-02,2.02e-01,7.90e-03,2.34e-09
32768,229376,5,181.02,49306,262144.00,47453132.81,37.59,1.06e-01,2.76e-02,1.88e-01,5.20e-03,2.24e-09
65536,491520,5,256.00,104937,557056.00,142606336.00,66.48,2.51e-01,1.95e-02,1.88e-01,3.68e-03,1.76e-09
131072,1048576,5,362.04,215479,1179648.00,427078195.31,127.82,6.31e-01,1.38e-02,1.83e-01,2.52e-03,1.48e-09
262144,2228224,5,512.00,421559,2490368.00,1275068416.00,257.60,1.43e+00,9.77e-03,1.69e-01,1.65e-03,1.12e-09
524288,4718592,5,724.08,890369,5242880.00,3796250624.97,520.99,3.42e+00,6.91e-03,1.70e-01,1.17e-03,9.01e-10
1048576,9961472,6,1024.00,1800296,11010048.00,11274289152.00,1081.90,9.49e+00,5.86e-03,1.64e-01,9.58e-04,8.42e-10
2097152,20971520,6,1448.15,3659579,23068672.00,33407005499.74,2225.19,2.17e+01,4.14e-03,1.59e-01,6.57e-04,6.50e-10
4194304,44040192,6,2048.00,7435676,48234496.00,98784247808.00,4623.12,5.20e+01,2.93e-03,1.54e-01,4.52e-04,5.26e-10
8388608,92274688,6,2896.31,15122492,100663296.00,291552047997.70,9588.88,1.24e+02,2.07e-03,1.50e-01,3.11e-04,4.24e-10
