0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.480000e-07,0.000000e+00,1.740000e-07
2,k,2,0,8,3.520000e-07,0.000000e+00,4.400000e-08
3,k,2,4,24,4.360000e-07,1.666667e-01,1.816667e-08
4,k,2,20,64,6.750000e-07,3.125000e-01,1.054688e-08
5,k,2,68,160,1.318000e-06,4.250000e-01,8.237500e-09
6,k,2,196,384,2.883000e-06,5.104167e-01,7.507812e-09
7,k,2,516,896,6.430000e-06,5.758929e-01,7.176339e-09
8,k,2,1284,2048,1.444700e-05,6.269531e-01,7.054199e-09
9,k,2,3076,4608,3.353000e-05,6.675347e-01,7.276476e-09
10,k,2,7172,10240,8.561600e-05,7.003906e-01,8.360937e-09
11,k,2,16388,22528,2.023860e-04,7.274503e-01,8.983754e-09
12,k,2,36868,49152,4.388810e-04,7.500814e-01,8.929057e-09
13,k,2,81924,106496,9.504960e-04,7.692683e-01,8.925180e-09
14,k,2,180228,229376,2.084654e-03,7.857317e-01,9.088370e-09
15,k,2,393220,491520,3.423913e-03,8.000081e-01,6.965969e-09
16,k,2,851972,1048576,1.218723e-02,8.125038e-01,1.162265e-08
17,k,2,1835012,2228224,2.630389e-02,8.235312e-01,1.180487e-08
18,k,2,3932164,4718592,5.693275e-02,8.333342e-01,1.206562e-08
19,k,2,8388612,9961472,1.230143e-01,8.421057e-01,1.234901e-08
20,k,2,17825796,20971520,2.615135e-01,8.500002e-01,1.246994e-08
21,k,2,37748740,44040192,6.220410e-01,8.571429e-01,1.412439e-08
22,k,2,79691780,92274688,1.179224e+00,8.636364e-01,1.277950e-08
23,k,2,167772164,192937984,2.544670e+00,8.695652e-01,1.318905e-08
24,k,2,352321540,402653184,5.376056e+00,8.750000e-01,1.335158e-08
25,k,2,738197508,838860800,1.134124e+01,8.800000e-01,1.351981e-08
26,k,2,1543503876,1744830464,2.392231e+01,8.846154e-01,1.371039e-08
