0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.490000e-07,0.000000e+00,1.745000e-07
2,k,2,0,8,3.030000e-07,0.000000e+00,3.787500e-08
3,k,2,4,24,3.730000e-07,1.666667e-01,1.554167e-08
4,k,2,20,64,5.820000e-07,3.125000e-01,9.093750e-09
5,k,2,68,160,1.040000e-06,4.250000e-01,6.500000e-09
6,k,2,196,384,2.231000e-06,5.104167e-01,5.809896e-09
7,k,2,516,896,5.127000e-06,5.758929e-01,5.722098e-09
8,k,2,1284,2048,1.184100e-05,6.269531e-01,5.781738e-09
9,k,2,3076,4608,2.729900e-05,6.675347e-01,5.924262e-09
10,k,2,7172,10240,7.101100e-05,7.003906e-01,6.934668e-09
11,k,2,16388,22528,1.717180e-04,7.274503e-01,7.622425e-09
12,k,2,36868,49152,3.743680e-04,7.500814e-01,7.616536e-09
13,k,2,81924,106496,8.737430e-04,7.692683e-01,8.204468e-09
14,k,2,180228,229376,2.057992e-03,7.857317e-01,8.972133e-09
15,k,2,393220,491520,3.857864e-03,8.000081e-01,7.848844e-09
16,k,2,851972,1048576,1.217535e-02,8.125038e-01,1.161132e-08
17,k,2,1835012,2228224,2.624004e-02,8.235312e-01,1.177621e-08
18,k,2,3932164,4718592,5.689317e-02,8.333342e-01,1.205723e-08
19,k,2,8388612,9961472,1.223629e-01,8.421057e-01,1.228361e-08
20,k,2,17825796,20971520,2.613524e-01,8.500002e-01,1.246225e-08
21,k,2,37748740,44040192,5.555095e-01,8.571429e-01,1.261369e-08
22,k,2,79691780,92274688,1.172986e+00,8.636364e-01,1.271189e-08
23,k,2,167772164,192937984,2.478606e+00,8.695652e-01,1.284665e-08
24,k,2,352321540,402653184,5.272106e+00,8.750000e-01,1.309342e-08
25,k,2,738197508,838860800,1.114980e+01,8.800000e-01,1.329159e-08
26,k,2,1543503876,1744830464,2.359363e+01,8.846154e-01,1.352202e-08
