0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.960000e-07,0.000000e+00,1.980000e-07
2,k,2,0,8,2.990000e-07,0.000000e+00,3.737500e-08
3,k,2,4,24,3.800000e-07,1.666667e-01,1.583333e-08
4,k,2,20,64,6.160000e-07,3.125000e-01,9.625000e-09
5,k,2,68,160,1.360000e-06,4.250000e-01,8.500000e-09
6,k,2,196,384,2.243000e-06,5.104167e-01,5.841146e-09
7,k,2,516,896,5.525000e-06,5.758929e-01,6.166295e-09
8,k,2,1284,2048,1.308900e-05,6.269531e-01,6.391113e-09
9,k,2,3076,4608,3.061500e-05,6.675347e-01,6.643880e-09
10,k,2,7172,10240,7.598600e-05,7.003906e-01,7.420508e-09
11,k,2,16388,22528,1.782840e-04,7.274503e-01,7.913885e-09
12,k,2,36868,49152,3.849240e-04,7.500814e-01,7.831299e-09
13,k,2,81924,106496,9.023990e-04,7.692683e-01,8.473548e-09
14,k,2,180228,229376,2.102570e-03,7.857317e-01,9.166478e-09
15,k,2,393220,491520,3.906109e-03,8.000081e-01,7.946999e-09
16,k,2,851972,1048576,1.242557e-02,8.125038e-01,1.184995e-08
17,k,2,1835012,2228224,2.632129e-02,8.235312e-01,1.181268e-08
18,k,2,3932164,4718592,5.727610e-02,8.333342e-01,1.213839e-08
19,k,2,8388612,9961472,1.238686e-01,8.421057e-01,1.243476e-08
20,k,2,17825796,20971520,2.643226e-01,8.500002e-01,1.260388e-08
21,k,2,37748740,44040192,5.610495e-01,8.571429e-01,1.273949e-08
22,k,2,79691780,92274688,1.191298e+00,8.636364e-01,1.291034e-08
23,k,2,167772164,192937984,2.521542e+00,8.695652e-01,1.306919e-08
24,k,2,352321540,402653184,5.360000e+00,8.750000e-01,1.331170e-08
25,k,2,738197508,838860800,1.133696e+01,8.800000e-01,1.351470e-08
26,k,2,1543503876,1744830464,2.395277e+01,8.846154e-01,1.372785e-08
