0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.140000e-07,0.000000e+00,1.570000e-07
2,k,2,0,8,2.980000e-07,0.000000e+00,3.725000e-08
3,k,2,4,24,3.920000e-07,1.666667e-01,1.633333e-08
4,k,2,20,64,5.720000e-07,3.125000e-01,8.937500e-09
5,k,2,68,160,1.045000e-06,4.250000e-01,6.531250e-09
6,k,2,196,384,2.228000e-06,5.104167e-01,5.802083e-09
7,k,2,516,896,5.550000e-06,5.758929e-01,6.194196e-09
8,k,2,1284,2048,1.299900e-05,6.269531e-01,6.347168e-09
9,k,2,3076,4608,3.058300e-05,6.675347e-01,6.636936e-09
10,k,2,7172,10240,7.808500e-05,7.003906e-01,7.625488e-09
11,k,2,16388,22528,1.829680e-04,7.274503e-01,8.121804e-09
12,k,2,36868,49152,3.974510e-04,7.500814e-01,8.086161e-09
13,k,2,81924,106496,8.687330e-04,7.692683e-01,8.157424e-09
14,k,2,180228,229376,1.996566e-03,7.857317e-01,8.704337e-09
15,k,2,393220,491520,3.977364e-03,8.000081e-01,8.091968e-09
16,k,2,851972,1048576,1.215616e-02,8.125038e-01,1.159302e-08
17,k,2,1835012,2228224,2.619241e-02,8.235312e-01,1.175484e-08
18,k,2,3932164,4718592,5.678723e-02,8.333342e-01,1.203478e-08
19,k,2,8388612,9961472,1.218468e-01,8.421057e-01,1.223180e-08
20,k,2,17825796,20971520,2.599862e-01,8.500002e-01,1.239711e-08
21,k,2,37748740,44040192,5.530707e-01,8.571429e-01,1.255832e-08
22,k,2,79691780,92274688,1.166064e+00,8.636364e-01,1.263688e-08
23,k,2,167772164,192937984,2.472111e+00,8.695652e-01,1.281298e-08
24,k,2,352321540,402653184,5.268013e+00,8.750000e-01,1.308325e-08
25,k,2,738197508,838860800,1.114585e+01,8.800000e-01,1.328688e-08
26,k,2,1543503876,1744830464,2.361315e+01,8.846154e-01,1.353321e-08
