0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.800000e-07,0.000000e+00,1.900000e-07
2,k,2,0,8,2.360000e-07,0.000000e+00,2.950000e-08
3,k,2,4,24,3.680000e-07,1.666667e-01,1.533333e-08
4,k,2,20,64,5.820000e-07,3.125000e-01,9.093750e-09
5,k,2,68,160,1.036000e-06,4.250000e-01,6.475000e-09
6,k,2,196,384,2.231000e-06,5.104167e-01,5.809896e-09
7,k,2,516,896,5.128000e-06,5.758929e-01,5.723214e-09
8,k,2,1284,2048,1.318100e-05,6.269531e-01,6.436035e-09
9,k,2,3076,4608,2.850200e-05,6.675347e-01,6.185330e-09
10,k,2,7172,10240,7.094500e-05,7.003906e-01,6.928223e-09
11,k,2,16388,22528,1.711030e-04,7.274503e-01,7.595126e-09
12,k,2,36868,49152,3.733380e-04,7.500814e-01,7.595581e-09
13,k,2,81924,106496,8.126360e-04,7.692683e-01,7.630672e-09
14,k,2,180228,229376,2.052202e-03,7.857317e-01,8.946891e-09
15,k,2,393220,491520,3.895661e-03,8.000081e-01,7.925743e-09
16,k,2,851972,1048576,1.254275e-02,8.125038e-01,1.196170e-08
17,k,2,1835012,2228224,2.622252e-02,8.235312e-01,1.176835e-08
18,k,2,3932164,4718592,5.694154e-02,8.333342e-01,1.206748e-08
19,k,2,8388612,9961472,1.225729e-01,8.421057e-01,1.230469e-08
20,k,2,17825796,20971520,2.614407e-01,8.500002e-01,1.246647e-08
21,k,2,37748740,44040192,5.560995e-01,8.571429e-01,1.262709e-08
22,k,2,79691780,92274688,1.174328e+00,8.636364e-01,1.272644e-08
23,k,2,167772164,192937984,2.501256e+00,8.695652e-01,1.296404e-08
24,k,2,352321540,402653184,5.299809e+00,8.750000e-01,1.316222e-08
25,k,2,738197508,838860800,1.119851e+01,8.800000e-01,1.334966e-08
26,k,2,1543503876,1744830464,2.369339e+01,8.846154e-01,1.357919e-08
