0,k,2,0,0,0.000000e+00,0.000000e+00
1,k,2,0,2,3.360000e-07,0.000000e+00,1.680000e-07
2,k,2,0,8,3.020000e-07,0.000000e+00,3.775000e-08
3,k,2,4,24,3.830000e-07,1.666667e-01,1.595833e-08
4,k,2,20,64,5.770000e-07,3.125000e-01,9.015625e-09
5,k,2,68,160,1.034000e-06,4.250000e-01,6.462500e-09
6,k,2,196,384,2.240000e-06,5.104167e-01,5.833333e-09
7,k,2,516,896,5.735000e-06,5.758929e-01,6.400670e-09
8,k,2,1284,2048,1.282900e-05,6.269531e-01,6.264160e-09
9,k,2,3076,4608,2.768900e-05,6.675347e-01,6.008898e-09
10,k,2,7172,10240,7.195400e-05,7.003906e-01,7.026758e-09
11,k,2,16388,22528,1.727240e-04,7.274503e-01,7.667081e-09
12,k,2,36868,49152,3.761540e-04,7.500814e-01,7.652873e-09
13,k,2,81924,106496,8.932100e-04,7.692683e-01,8.387263e-09
14,k,2,180228,229376,2.069904e-03,7.857317e-01,9.024065e-09
15,k,2,393220,491520,3.818246e-03,8.000081e-01,7.768241e-09
16,k,2,851972,1048576,1.217371e-02,8.125038e-01,1.160975e-08
17,k,2,1835012,2228224,2.622270e-02,8.235312e-01,1.176843e-08
18,k,2,3932164,4718592,5.691650e-02,8.333342e-01,1.206218e-08
19,k,2,8388612,9961472,1.236417e-01,8.421057e-01,1.241199e-08
20,k,2,17825796,20971520,2.608116e-01,8.500002e-01,1.243646e-08
21,k,2,37748740,44040192,5.547126e-01,8.571429e-01,1.259560e-08
22,k,2,79691780,92274688,1.170507e+00,8.636364e-01,1.268503e-08
23,k,2,167772164,192937984,2.493827e+00,8.695652e-01,1.292554e-08
24,k,2,352321540,402653184,5.283226e+00,8.750000e-01,1.312103e-08
25,k,2,738197508,838860800,1.117274e+01,8.800000e-01,1.331895e-08
26,k,2,1543503876,1744830464,2.364760e+01,8.846154e-01,1.355295e-08
