0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.385000e-06,inf,inf
2,h,0,6,9,2.210000e-06,6.666667e-01,2.455556e-07
3,h,0,23,35,2.031000e-06,6.571429e-01,5.802857e-08
4,h,0,62,90,3.966000e-06,6.888889e-01,4.406667e-08
5,h,0,176,248,8.778000e-06,7.096774e-01,3.539516e-08
6,h,0,452,567,1.880800e-05,7.971781e-01,3.317108e-08
7,h,0,1098,1397,3.885100e-05,7.859699e-01,2.781031e-08
8,h,0,2531,3060,8.273100e-05,8.271242e-01,2.703627e-08
9,h,0,5861,6643,1.830360e-04,8.822821e-01,2.755321e-08
10,h,0,13260,15345,3.852410e-04,8.641251e-01,2.510531e-08
11,h,0,29597,32752,8.438350e-04,9.036700e-01,2.576438e-08
12,h,0,65116,73710,2.141312e-03,8.834080e-01,2.905050e-08
13,h,0,142142,155629,4.620044e-03,9.133388e-01,2.968627e-08
14,h,0,308657,344043,8.919811e-03,8.971466e-01,2.592644e-08
15,h,0,665961,720874,1.910171e-02,9.238244e-01,2.649798e-08
16,h,0,1428566,1572840,4.316578e-02,9.082717e-01,2.744449e-08
17,h,0,3053102,3276775,1.043152e-01,9.317399e-01,3.183473e-08
18,h,0,6492720,6815718,2.418760e-01,9.526098e-01,3.548796e-08
19,h,0,13769921,14680036,5.546209e-01,9.380032e-01,3.778062e-08
20,h,0,29105954,30408675,1.273123e+00,9.571596e-01,4.186710e-08
21,h,0,61340570,65011681,2.840922e+00,9.435315e-01,4.369864e-08
22,h,0,128945775,134217696,6.425729e+00,9.607211e-01,4.787543e-08
23,h,0,270430341,285212638,1.455559e+01,9.481710e-01,5.103419e-08
24,h,0,565905213,587202525,3.393390e+01,9.637309e-01,5.778909e-08
25,h,0,1182020254,1241513947,7.586134e+01,9.520797e-01,6.110390e-08
26,h,0,2464426798,2550136794,1.740647e+02,9.663900e-01,6.825702e-08
