0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.572000e-06,inf,inf
2,h,0,6,9,2.226000e-06,6.666667e-01,2.473333e-07
3,h,0,22,35,2.024000e-06,6.285714e-01,5.782857e-08
4,h,0,63,90,4.157000e-06,7.000000e-01,4.618889e-08
5,h,0,186,248,8.926000e-06,7.500000e-01,3.599194e-08
6,h,0,466,567,1.903600e-05,8.218695e-01,3.357319e-08
7,h,0,1095,1397,4.033600e-05,7.838225e-01,2.887330e-08
8,h,0,2551,3060,8.402200e-05,8.336601e-01,2.745817e-08
9,h,0,5823,6643,1.793520e-04,8.765618e-01,2.699865e-08
10,h,0,13250,15345,3.846440e-04,8.634734e-01,2.506641e-08
11,h,0,29509,32752,9.598700e-04,9.009831e-01,2.930722e-08
12,h,0,65041,73710,2.088042e-03,8.823904e-01,2.832780e-08
13,h,0,142238,155629,4.635782e-03,9.139556e-01,2.978739e-08
14,h,0,308548,344043,8.575680e-03,8.968298e-01,2.492619e-08
15,h,0,666203,720874,1.915777e-02,9.241601e-01,2.657575e-08
16,h,0,1428847,1572840,4.343171e-02,9.084503e-01,2.761356e-08
17,h,0,3052518,3276775,1.026150e-01,9.315617e-01,3.131584e-08
18,h,0,6496667,6815718,2.392483e-01,9.531889e-01,3.510243e-08
19,h,0,13771410,14680036,5.583681e-01,9.381046e-01,3.803588e-08
20,h,0,29104503,30408675,1.258432e+00,9.571118e-01,4.138399e-08
21,h,0,61341170,65011681,2.808671e+00,9.435407e-01,4.320255e-08
22,h,0,128940608,134217696,6.365706e+00,9.606826e-01,4.742822e-08
23,h,0,270410894,285212638,1.439886e+01,9.481028e-01,5.048466e-08
24,h,0,565917945,587202525,3.362000e+01,9.637526e-01,5.725453e-08
25,h,0,1182013095,1241513947,7.604453e+01,9.520740e-01,6.125145e-08
26,h,0,2464482600,2550136794,1.751210e+02,9.664119e-01,6.867120e-08
