0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.409000e-06,inf,inf
2,h,0,6,9,2.230000e-06,6.666667e-01,2.477778e-07
3,h,0,21,35,2.026000e-06,6.000000e-01,5.788571e-08
4,h,0,70,90,4.306000e-06,7.777778e-01,4.784444e-08
5,h,0,181,248,9.124000e-06,7.298387e-01,3.679032e-08
6,h,0,461,567,1.914600e-05,8.130511e-01,3.376720e-08
7,h,0,1085,1397,4.079300e-05,7.766643e-01,2.920043e-08
8,h,0,2554,3060,8.554100e-05,8.346405e-01,2.795458e-08
9,h,0,5873,6643,1.824810e-04,8.840885e-01,2.746967e-08
10,h,0,13255,15345,3.887680e-04,8.637993e-01,2.533516e-08
11,h,0,29502,32752,8.439550e-04,9.007694e-01,2.576804e-08
12,h,0,65055,73710,1.845586e-03,8.825804e-01,2.503848e-08
13,h,0,142123,155629,4.191624e-03,9.132167e-01,2.693344e-08
14,h,0,308446,344043,9.707262e-03,8.965333e-01,2.821526e-08
15,h,0,665835,720874,1.931005e-02,9.236496e-01,2.678700e-08
16,h,0,1429535,1572840,4.360737e-02,9.088877e-01,2.772524e-08
17,h,0,3050742,3276775,1.031326e-01,9.310197e-01,3.147380e-08
18,h,0,6495113,6815718,2.398128e-01,9.529609e-01,3.518526e-08
19,h,0,13769258,14680036,5.612746e-01,9.379581e-01,3.823387e-08
20,h,0,29105429,30408675,1.264028e+00,9.571423e-01,4.156800e-08
21,h,0,61343275,65011681,2.816052e+00,9.435731e-01,4.331609e-08
22,h,0,128938644,134217696,6.395012e+00,9.606680e-01,4.764656e-08
23,h,0,270428994,285212638,1.446548e+01,9.481662e-01,5.071823e-08
24,h,0,565911621,587202525,3.381467e+01,9.637418e-01,5.758604e-08
25,h,0,1182022665,1241513947,7.607424e+01,9.520817e-01,6.127538e-08
26,h,0,2464477098,2550136794,1.780281e+02,9.664098e-01,6.981118e-08
