0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.521000e-06,inf,inf
2,h,0,6,9,2.223000e-06,6.666667e-01,2.470000e-07
3,h,0,23,35,2.014000e-06,6.571429e-01,5.754286e-08
4,h,0,66,90,4.104000e-06,7.333333e-01,4.560000e-08
5,h,0,182,248,9.082000e-06,7.338710e-01,3.662097e-08
6,h,0,453,567,1.920700e-05,7.989418e-01,3.387478e-08
7,h,0,1111,1397,4.062500e-05,7.952756e-01,2.908017e-08
8,h,0,2550,3060,8.496000e-05,8.333333e-01,2.776471e-08
9,h,0,5858,6643,1.801780e-04,8.818305e-01,2.712299e-08
10,h,0,13238,15345,3.842920e-04,8.626914e-01,2.504347e-08
11,h,0,29516,32752,8.340290e-04,9.011969e-01,2.546498e-08
12,h,0,65184,73710,2.108800e-03,8.843305e-01,2.860942e-08
13,h,0,142193,155629,4.669083e-03,9.136665e-01,3.000137e-08
14,h,0,308789,344043,8.809343e-03,8.975303e-01,2.560535e-08
15,h,0,665922,720874,1.923061e-02,9.237703e-01,2.667680e-08
16,h,0,1428397,1572840,4.350918e-02,9.081642e-01,2.766281e-08
17,h,0,3052088,3276775,1.027966e-01,9.314304e-01,3.137126e-08
18,h,0,6493221,6815718,2.382460e-01,9.526833e-01,3.495538e-08
19,h,0,13767668,14680036,5.530340e-01,9.378497e-01,3.767252e-08
20,h,0,29107218,30408675,1.260218e+00,9.572011e-01,4.144272e-08
21,h,0,61336452,65011681,2.808743e+00,9.434682e-01,4.320366e-08
22,h,0,128936770,134217696,6.372329e+00,9.606540e-01,4.747756e-08
23,h,0,270420673,285212638,1.440541e+01,9.481371e-01,5.050763e-08
24,h,0,565925339,587202525,3.366540e+01,9.637652e-01,5.733184e-08
25,h,0,1182043609,1241513947,7.595896e+01,9.520985e-01,6.118252e-08
26,h,0,2464457261,2550136794,1.741192e+02,9.664020e-01,6.827838e-08
