0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.407000e-06,inf,inf
2,h,0,6,9,2.171000e-06,6.666667e-01,2.412222e-07
3,h,0,23,35,1.985000e-06,6.571429e-01,5.671429e-08
4,h,0,68,90,4.144000e-06,7.555556e-01,4.604444e-08
5,h,0,182,248,9.165000e-06,7.338710e-01,3.695565e-08
6,h,0,459,567,1.909300e-05,8.095238e-01,3.367372e-08
7,h,0,1092,1397,3.943500e-05,7.816750e-01,2.822835e-08
8,h,0,2551,3060,8.383300e-05,8.336601e-01,2.739641e-08
9,h,0,5884,6643,1.789030e-04,8.857444e-01,2.693106e-08
10,h,0,13322,15345,3.807760e-04,8.681655e-01,2.481434e-08
11,h,0,29557,32752,8.282120e-04,9.024487e-01,2.528737e-08
12,h,0,65074,73710,2.093582e-03,8.828381e-01,2.840296e-08
13,h,0,142389,155629,4.619128e-03,9.149259e-01,2.968038e-08
14,h,0,308555,344043,8.727467e-03,8.968501e-01,2.536737e-08
15,h,0,665989,720874,1.934588e-02,9.238633e-01,2.683670e-08
16,h,0,1429533,1572840,4.315619e-02,9.088865e-01,2.743839e-08
17,h,0,3052313,3276775,1.024723e-01,9.314991e-01,3.127231e-08
18,h,0,6494210,6815718,2.374475e-01,9.528284e-01,3.483822e-08
19,h,0,13771978,14680036,5.541976e-01,9.381433e-01,3.775179e-08
20,h,0,29104967,30408675,1.256295e+00,9.571271e-01,4.131371e-08
21,h,0,61335527,65011681,2.804674e+00,9.434539e-01,4.314107e-08
22,h,0,128941330,134217696,6.334133e+00,9.606880e-01,4.719298e-08
23,h,0,270421120,285212638,1.438963e+01,9.481386e-01,5.045230e-08
24,h,0,565918791,587202525,3.361336e+01,9.637540e-01,5.724321e-08
25,h,0,1182000044,1241513947,7.762368e+01,9.520634e-01,6.252340e-08
26,h,0,2464550510,2550136794,1.738740e+02,9.664386e-01,6.818223e-08
