0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.388000e-06,inf,inf
2,h,0,6,9,2.222000e-06,6.666667e-01,2.468889e-07
3,h,0,23,35,1.979000e-06,6.571429e-01,5.654286e-08
4,h,0,67,90,4.166000e-06,7.444444e-01,4.628889e-08
5,h,0,174,248,8.947000e-06,7.016129e-01,3.607661e-08
6,h,0,459,567,1.889200e-05,8.095238e-01,3.331922e-08
7,h,0,1102,1397,3.938900e-05,7.888332e-01,2.819542e-08
8,h,0,2576,3060,8.371900e-05,8.418301e-01,2.735915e-08
9,h,0,5840,6643,1.776620e-04,8.791209e-01,2.674424e-08
10,h,0,13314,15345,3.819350e-04,8.676442e-01,2.488987e-08
11,h,0,29566,32752,8.249090e-04,9.027235e-01,2.518652e-08
12,h,0,64968,73710,1.827261e-03,8.814001e-01,2.478987e-08
13,h,0,142137,155629,4.068662e-03,9.133066e-01,2.614334e-08
14,h,0,308388,344043,9.755408e-03,8.963647e-01,2.835520e-08
15,h,0,665971,720874,1.919956e-02,9.238383e-01,2.663373e-08
16,h,0,1428552,1572840,4.339258e-02,9.082628e-01,2.758868e-08
17,h,0,3052169,3276775,1.024609e-01,9.314552e-01,3.126881e-08
18,h,0,6494524,6815718,2.379675e-01,9.528745e-01,3.491452e-08
19,h,0,13768685,14680036,5.617814e-01,9.379190e-01,3.826839e-08
20,h,0,29102810,30408675,1.256480e+00,9.570562e-01,4.131979e-08
21,h,0,61340135,65011681,2.809831e+00,9.435248e-01,4.322040e-08
22,h,0,128940967,134217696,6.363075e+00,9.606853e-01,4.740861e-08
23,h,0,270416133,285212638,1.437508e+01,9.481211e-01,5.040127e-08
24,h,0,565927744,587202525,3.360914e+01,9.637693e-01,5.723602e-08
25,h,0,1182055206,1241513947,7.587162e+01,9.521079e-01,6.111217e-08
26,h,0,2464501045,2550136794,1.737485e+02,9.664192e-01,6.813301e-08
