0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,8.271000e-06,inf,inf
2,h,0,6,9,2.148000e-06,6.666667e-01,2.386667e-07
3,h,0,22,35,2.030000e-06,6.285714e-01,5.800000e-08
4,h,0,72,90,4.138000e-06,8.000000e-01,4.597778e-08
5,h,0,185,248,9.063000e-06,7.459677e-01,3.654435e-08
6,h,0,443,567,1.836800e-05,7.813051e-01,3.239506e-08
7,h,0,1076,1397,3.951500e-05,7.702219e-01,2.828561e-08
8,h,0,2573,3060,8.348900e-05,8.408497e-01,2.728399e-08
9,h,0,5853,6643,1.787590e-04,8.810778e-01,2.690938e-08
10,h,0,13310,15345,3.836200e-04,8.673835e-01,2.499967e-08
11,h,0,29423,32752,8.395640e-04,8.983574e-01,2.563398e-08
12,h,0,65299,73710,2.122291e-03,8.858907e-01,2.879244e-08
13,h,0,142086,155629,4.619761e-03,9.129789e-01,2.968445e-08
14,h,0,308739,344043,8.870302e-03,8.973849e-01,2.578254e-08
15,h,0,665999,720874,1.907099e-02,9.238771e-01,2.645537e-08
16,h,0,1427932,1572840,4.333177e-02,9.078686e-01,2.755002e-08
17,h,0,3052198,3276775,1.040704e-01,9.314640e-01,3.176000e-08
18,h,0,6496322,6815718,2.415005e-01,9.531383e-01,3.543288e-08
19,h,0,13770109,14680036,5.675408e-01,9.380160e-01,3.866072e-08
20,h,0,29104501,30408675,1.270139e+00,9.571118e-01,4.176898e-08
21,h,0,61334416,65011681,2.835899e+00,9.434369e-01,4.362137e-08
22,h,0,128946817,134217696,6.397658e+00,9.607289e-01,4.766628e-08
23,h,0,270425938,285212638,1.452541e+01,9.481555e-01,5.092836e-08
24,h,0,565928072,587202525,3.388170e+01,9.637698e-01,5.770020e-08
25,h,0,1182039851,1241513947,7.633400e+01,9.520955e-01,6.148461e-08
26,h,0,2464449793,2550136794,1.762783e+02,9.663991e-01,6.912502e-08
