
1 & 8 & 15 & 12.99 & 6.32e-07 & 6.11e-07 & 6.34e-07 & 6.26e-07 & 6.38e-07 & 6.53e-07 & 6.03e-07 \\
2 & 16 & 33 & 12.99 & 1.01e-06 & 1.75e-06 & 1.55e-06 & 1.54e-06 & 1.49e-06 & 1.53e-06 & 9.81e-07 \\
3 & 32 & 73 & 12.99 & 3.95e-06 & 3.03e-06 & 4.18e-06 & 3.68e-06 & 3.53e-06 & 1.71e-06 & 3.45e-06 \\
4 & 64 & 174 & 12.99 & 1.16e-05 & 9.96e-06 & 1.09e-05 & 1.06e-05 & 1.08e-05 & 1.04e-05 & 1.15e-05 \\
5 & 128 & 385 & 12.99 & 2.28e-05 & 1.93e-05 & 1.17e-05 & 1.24e-05 & 1.22e-05 & 1.82e-05 & 2.10e-05 \\
6 & 256 & 789 & 12.99 & 4.63e-05 & 4.16e-05 & 3.35e-05 & 4.45e-05 & 4.52e-05 & 4.45e-05 & 4.09e-05 \\
7 & 512 & 1791 & 13.12 & 1.18e-04 & 7.81e-05 & 9.84e-05 & 7.29e-05 & 8.48e-05 & 6.31e-05 & 9.18e-05 \\
8 & 1024 & 3877 & 13.24 & 2.03e-04 & 1.30e-04 & 1.73e-04 & 1.73e-04 & 1.81e-04 & 1.87e-04 & 2.04e-04 \\
9 & 2048 & 7869 & 13.49 & 3.56e-04 & 3.05e-04 & 2.81e-04 & 2.74e-04 & 2.79e-04 & 3.20e-04 & 3.74e-04 \\
10 & 4096 & 17407 & 14.03 & 7.29e-04 & 6.41e-04 & 6.24e-04 & 6.16e-04 & 6.23e-04 & 6.76e-04 & 7.89e-04 \\
11 & 8192 & 37267 & 15.26 & 1.62e-03 & 1.39e-03 & 1.37e-03 & 1.36e-03 & 1.37e-03 & 1.52e-03 & 1.72e-03 \\
12 & 16384 & 69068 & 17.40 & 3.44e-03 & 2.97e-03 & 2.88e-03 & 2.85e-03 & 2.89e-03 & 3.17e-03 & 3.61e-03 \\
13 & 32768 & 150593 & 22.54 & 9.66e-03 & 7.62e-03 & 7.34e-03 & 7.30e-03 & 7.35e-03 & 7.93e-03 & 9.14e-03 \\
14 & 65536 & 328182 & 34.01 & 2.26e-02 & 1.99e-02 & 1.90e-02 & 1.88e-02 & 1.89e-02 & 2.02e-02 & 2.23e-02 \\
15 & 131072 & 670788 & 56.12 & 5.23e-02 & 4.34e-02 & 4.19e-02 & 4.11e-02 & 4.13e-02 & 4.40e-02 & 4.79e-02 \\
16 & 264346 & 733846 & 72.73 & 6.63e-02 & 6.27e-02 & 6.16e-02 & 6.02e-02 & 6.18e-02 & 6.50e-02 & 7.26e-02 \\
17 & 321270 & 800172 & 77.75 & 7.57e-02 & 7.02e-02 & 6.92e-02 & 7.03e-02 & 7.02e-02 & 7.37e-02 & 8.17e-02 \\
18 & 435666 & 1057066 & 93.35 & 1.04e-01 & 9.67e-02 & 9.68e-02 & 9.47e-02 & 9.69e-02 & 1.02e-01 & 1.12e-01 \\
19 & 1070376 & 2712798 & 241.68 & 2.62e-01 & 2.42e-01 & 2.40e-01 & 2.43e-01 & 2.41e-01 & 2.55e-01 & 2.78e-01 \\
20 & 1207945 & 2840208 & 251.47 & 2.94e-01 & 2.77e-01 & 2.82e-01 & 2.73e-01 & 2.74e-01 & 2.90e-01 & 3.21e-01 \\
21 & 1524453 & 3897636 & 313.50 & 3.94e-01 & 3.67e-01 & 3.60e-01 & 3.62e-01 & 3.62e-01 & 3.76e-01 & 4.26e-01 \\
22 & 1890815 & 4657742 & 360.57 & 4.76e-01 & 4.49e-01 & 4.42e-01 & 4.46e-01 & 4.42e-01 & 4.64e-01 & 5.19e-01 \\
23 & 2758119 & 6885658 & 557.67 & 7.01e-01 & 6.55e-01 & 6.50e-01 & 6.51e-01 & 6.76e-01 & 6.90e-01 & 7.64e-01 \\
24 & 3598623 & 8778114 & 677.60 & 9.33e-01 & 8.92e-01 & 8.72e-01 & 8.80e-01 & 8.78e-01 & 9.30e-01 & 1.03e+00 \\
25 & 6262104 & 15248146 & 1198.51 & 1.75e+00 & 1.60e+00 & 1.59e+00 & 1.61e+00 & 1.63e+00 & 1.70e+00 & 1.87e+00 \\
26 & 14081816 & 34292496 & 2612.99 & 5.24e+00 & 4.76e+00 & 4.66e+00 & 4.59e+00 & 4.64e+00 & 4.79e+00 & 5.14e+00 \\
27 & 23947347 & 58333344 & 4591.93 & 8.86e+00 & 7.90e+00 & 7.51e+00 & 7.53e+00 & 7.59e+00 & 7.88e+00 & 8.44e+00 \\
\textbf{Average} & 2134259.00 & 5241686.00 & 419.52  & 7.13e-01 & 6.46e-01 & 6.26e-01 & 6.25e-01 & 6.31e-01 & 6.55e-01 & 7.09e-01\\
