
2 & 2 & 2.43e-07 & 2.25e-07 & 2.26e-07 & 2.18e-07 & 2.35e-07 & 2.48e-07 & 2.40e-07 \\
4 & 6 & 3.00e-07 & 3.40e-07 & 3.13e-07 & 2.88e-07 & 3.28e-07 & 3.02e-07 & 3.11e-07 \\
8 & 15 & 5.42e-07 & 5.59e-07 & 2.82e-07 & 5.24e-07 & 5.24e-07 & 5.36e-07 & 5.40e-07 \\
16 & 35 & 1.74e-06 & 1.65e-06 & 1.67e-06 & 1.63e-06 & 1.41e-06 & 1.58e-06 & 1.65e-06 \\
32 & 80 & 4.82e-06 & 3.14e-06 & 4.15e-06 & 4.57e-06 & 4.21e-06 & 3.86e-06 & 4.20e-06 \\
64 & 179 & 1.04e-05 & 9.56e-06 & 5.74e-06 & 9.69e-06 & 9.78e-06 & 9.84e-06 & 9.43e-06 \\
128 & 397 & 2.62e-05 & 1.18e-05 & 2.22e-05 & 2.23e-05 & 2.19e-05 & 2.15e-05 & 2.61e-05 \\
256 & 872 & 3.29e-05 & 3.23e-05 & 4.89e-05 & 5.14e-05 & 5.53e-05 & 3.67e-05 & 6.42e-05 \\
512 & 1899 & 1.09e-04 & 8.00e-05 & 7.86e-05 & 7.97e-05 & 1.00e-04 & 9.35e-05 & 8.01e-05 \\
1024 & 4106 & 2.12e-04 & 1.61e-04 & 1.91e-04 & 1.80e-04 & 1.68e-04 & 1.83e-04 & 2.03e-04 \\
2048 & 8829 & 3.56e-04 & 3.13e-04 & 3.14e-04 & 3.06e-04 & 3.03e-04 & 3.27e-04 & 3.92e-04 \\
4096 & 18892 & 7.64e-04 & 7.07e-04 & 6.49e-04 & 6.45e-04 & 6.40e-04 & 7.05e-04 & 8.17e-04 \\
8192 & 40250 & 1.67e-03 & 1.48e-03 & 1.42e-03 & 1.41e-03 & 1.45e-03 & 1.55e-03 & 1.78e-03 \\
16384 & 85433 & 4.44e-03 & 3.34e-03 & 3.60e-03 & 3.18e-03 & 3.23e-03 & 3.58e-03 & 3.95e-03 \\
32768 & 180730 & 9.73e-03 & 8.73e-03 & 8.20e-03 & 8.39e-03 & 8.21e-03 & 8.80e-03 & 9.96e-03 \\
65536 & 381188 & 2.38e-02 & 2.07e-02 & 2.00e-02 & 1.97e-02 & 1.96e-02 & 2.11e-02 & 2.32e-02 \\
131072 & 801834 & 4.42e-02 & 4.65e-02 & 4.46e-02 & 4.38e-02 & 4.25e-02 & 4.59e-02 & 4.93e-02 \\
262144 & 1682581 & 1.20e-01 & 8.85e-02 & 8.43e-02 & 8.34e-02 & 8.42e-02 & 8.78e-02 & 9.68e-02 \\
524288 & 3522989 & 2.84e-01 & 2.46e-01 & 2.40e-01 & 2.32e-01 & 2.31e-01 & 2.43e-01 & 2.56e-01 \\
1048576 & 7361632 & 6.79e-01 & 6.11e-01 & 5.54e-01 & 5.02e-01 & 5.35e-01 & 5.45e-01 & 5.79e-01 \\
2097152 & 15354570 & 1.63e+00 & 1.32e+00 & 1.23e+00 & 1.21e+00 & 1.18e+00 & 1.22e+00 & 1.27e+00 \\
4194304 & 31971752 & 3.89e+00 & 3.14e+00 & 2.93e+00 & 2.79e+00 & 2.78e+00 & 2.81e+00 & 2.90e+00 
