0,3,0,0,0.000000e+00,0.000000e+00
1,3,0,0,0.000000e+00,0.000000e+00
2,3,3,3,5.430000e-07,1.810000e-07
3,3,18,18,2.662000e-06,1.478889e-07
4,3,81,81,4.732000e-06,5.841975e-08
5,3,324,324,3.978000e-06,1.227778e-08
6,3,1215,1215,1.258900e-05,1.036132e-08
7,3,4374,4374,4.938800e-05,1.129127e-08
8,3,15309,15309,1.534280e-04,1.002208e-08
9,3,52488,52488,5.473350e-04,1.042781e-08
10,3,177147,177147,1.853259e-03,1.046170e-08
11,3,590490,590490,5.943544e-03,1.006544e-08
12,3,1948617,1948617,1.870487e-02,9.599049e-09
13,3,6377292,6377292,6.186878e-02,9.701419e-09
14,3,20726199,20726199,1.975399e-01,9.530929e-09
15,3,66961566,66961566,6.413450e-01,9.577807e-09
16,3,215233605,215233605,2.074735e+00,9.639455e-09
17,3,688747536,688747536,6.656729e+00,9.664977e-09
18,3,2195382771,2195382771,2.167864e+01,9.874651e-09
