h k l n m i d u x y z e t r
h 0 13 8192 4194304 8192 8192 39424 1.000000 0.001953 0.009399 237.554218 5.111350e-02 1.349769e-09
h 0 14 16384 4194304 16384 16384 67690 1.000000 0.003906 0.016139 238.062344 7.513387e-02 1.838778e-09
h 0 15 32768 4194304 32768 32768 112575 1.000000 0.007812 0.026840 239.415077 1.167697e-01 2.656892e-09
h 0 16 65536 4194304 65536 65536 180319 1.000000 0.015625 0.042991 242.007734 1.945490e-01 4.118037e-09
h 0 17 131072 4194304 131072 131072 271975 1.000000 0.031250 0.064844 245.738203 3.383332e-01 6.638139e-09
h 0 18 262144 4194304 262143 262143 371373 0.999996 0.062500 0.088542 252.769453 5.967336e-01 1.073232e-08
h 0 19 524288 4194304 524094 524094 421164 0.999630 0.124954 0.100413 261.351484 1.047774e+00 1.686072e-08
h 0 20 1048576 4194304 1027920 1027920 332645 0.980301 0.245075 0.079309 282.277266 1.817747e+00 2.500967e-08
h 0 20 1258291 4194304 1158502 1158502 270933 0.920695 0.276208 0.064595 317.640547 1.962018e+00 2.561945e-08
h 0 20 1468006 4194304 1255913 1255913 213691 0.855523 0.299433 0.050948 321.046797 2.058217e+00 2.559923e-08
h 0 20 1677721 4194304 1347653 1347653 168643 0.803264 0.321306 0.040208 324.433516 2.120135e+00 2.519070e-08
h 0 20 1887436 4194304 1313103 1313103 120292 0.695707 0.313068 0.028680 327.792891 2.043057e+00 2.324679e-08
h 0 21 2097152 4194304 1236770 1236770 82854 0.589738 0.294869 0.019754 331.124844 1.883358e+00 2.056539e-08
h 0 21 2516582 4194304 1224222 1224222 42119 0.486462 0.291877 0.010042 401.710938 1.735659e+00 1.754825e-08
h 0 21 2936012 4194304 782763 782763 12406 0.266608 0.186625 0.002958 408.144453 9.989000e-01 9.406841e-09
h 0 21 3355443 4194304 495765 495765 2939 0.147749 0.118200 0.000701 421.532421 5.749850e-01 5.068483e-09
