0,k,4,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00
1,k,4,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00
2,k,4,396,2,4,4.330000e-07,5.000000e-01,1.082500e-07
3,k,4,396,6,32,9.298600e-05,1.875000e-01,2.905813e-06
4,k,4,396,16,192,1.596200e-05,8.333333e-02,8.313542e-08
5,k,4,396,42,1024,1.022300e-05,4.101562e-02,9.983398e-09
6,k,4,396,96,5120,1.044200e-05,1.875000e-02,2.039453e-09
7,k,4,396,234,24576,1.190800e-05,9.521484e-03,4.845378e-10
8,k,4,396,512,114688,1.501000e-05,4.464286e-03,1.308768e-10
9,k,4,396,1194,524288,2.879800e-05,2.277374e-03,5.492783e-11
10,k,4,396,2560,2359296,4.190100e-05,1.085069e-03,1.775996e-11
11,k,4,396,5802,10485760,7.664500e-05,5.533218e-04,7.309437e-12
12,k,4,396,12288,46137344,1.406680e-04,2.663352e-04,3.048897e-12
13,k,4,396,27306,201326592,2.903900e-04,1.356304e-04,1.442383e-12
14,k,4,396,57344,872415232,5.882960e-04,6.573017e-05,6.743303e-13
15,k,4,396,125610,3758096384,1.280834e-03,3.342384e-05,3.408199e-13
16,k,4,396,262144,3221225472,3.125864e-03,8.138021e-05,9.703959e-13
17,k,4,396,567978,0,5.707992e-03,inf,inf
18,k,4,396,1179648,0,1.214567e-02,inf,inf
19,k,4,396,2534058,0,2.479194e-02,inf,inf
20,k,4,396,5242880,0,5.057301e-02,inf,inf
21,k,4,396,11184810,0,1.071752e-01,inf,inf
22,k,4,396,23068672,0,2.228033e-01,inf,inf
23,k,4,396,48933546,0,4.752700e-01,inf,inf
24,k,4,396,100663296,0,9.890237e-01,inf,inf
25,k,4,396,212511402,0,2.075259e+00,inf,inf
