0,h,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00
1,h,0,12,0,1,7.960000e-07,0.000000e+00,7.960000e-07
2,h,0,12,0,1,8.900000e-07,0.000000e+00,8.900000e-07
3,h,0,12,0,1,1.202000e-06,0.000000e+00,1.202000e-06
4,h,0,12,0,1,2.135000e-06,0.000000e+00,2.135000e-06
5,h,0,12,0,1,5.805000e-06,0.000000e+00,5.805000e-06
6,h,0,12,0,1,5.019000e-06,0.000000e+00,5.019000e-06
7,h,0,12,0,1,9.909000e-06,0.000000e+00,9.909000e-06
8,h,0,12,0,1,2.036200e-05,0.000000e+00,2.036200e-05
9,h,0,12,0,1,3.777800e-05,0.000000e+00,3.777800e-05
10,h,0,13,0,1,7.426200e-05,0.000000e+00,7.426200e-05
11,h,0,13,0,1,1.511710e-04,0.000000e+00,1.511710e-04
12,h,0,14,0,1,3.052420e-04,0.000000e+00,3.052420e-04
13,h,0,16,0,1,6.031760e-04,0.000000e+00,6.031760e-04
14,h,0,21,0,1,1.215564e-03,0.000000e+00,1.215564e-03
15,h,0,30,0,1,2.464837e-03,0.000000e+00,2.464837e-03
16,h,0,47,0,1,5.091102e-03,0.000000e+00,5.091102e-03
17,h,0,82,0,1,1.027710e-02,0.000000e+00,1.027710e-02
18,h,0,153,0,1,2.026510e-02,0.000000e+00,2.026510e-02
19,h,0,294,0,1,4.004932e-02,0.000000e+00,4.004932e-02
20,h,0,576,0,1,7.992849e-02,0.000000e+00,7.992849e-02
21,h,0,1140,0,1,1.604018e-01,0.000000e+00,1.604018e-01
22,h,0,2268,0,1,3.183674e-01,0.000000e+00,3.183674e-01
23,h,0,4524,0,1,6.363695e-01,0.000000e+00,6.363695e-01
24,h,0,9036,0,1,1.275054e+00,0.000000e+00,1.275054e+00
