h 0 3 8 15 7 7 0 0.875000 0.466667 0.000000 12.519453 8.628166e-05 1.804031e-06
h 0 4 16 33 14 14 1 0.875000 0.424242 0.030303 12.519453 1.705434e-04 1.255317e-06
h 0 5 32 73 27 27 2 0.843750 0.369863 0.027397 12.519453 3.313919e-04 9.106619e-07
h 0 6 64 174 60 60 18 0.937500 0.344828 0.103448 12.519453 6.329503e-04 6.394637e-07
h 0 7 128 385 124 124 23 0.968750 0.322078 0.059740 12.519453 1.229695e-03 4.940335e-07
h 0 8 256 789 234 234 49 0.914062 0.296578 0.062104 12.519453 2.136018e-03 3.686152e-07
h 0 9 512 1791 495 495 120 0.966797 0.276382 0.067002 12.636874 4.511297e-03 3.140071e-07
h 0 10 1024 3877 1004 1004 312 0.980469 0.258963 0.080475 12.765547 9.135819e-03 2.689288e-07
h 0 11 2048 7869 2000 2000 592 0.976562 0.254162 0.075232 13.015547 1.771782e-02 2.343213e-07
h 0 12 4096 17407 4029 4029 1401 0.983643 0.231459 0.080485 13.798281 3.813864e-02 2.132355e-07
h 0 13 8192 37267 8096 8096 3188 0.988281 0.217243 0.085545 15.286640 7.389335e-02 1.803918e-07
h 0 14 16384 69068 16107 16107 5647 0.983093 0.233205 0.081760 17.576640 1.464934e-01 1.766616e-07
h 0 15 32768 150593 32435 32435 12985 0.989838 0.215382 0.086226 23.605312 3.023008e-01 1.585680e-07
h 0 16 65536 328182 65083 65083 29820 0.993088 0.198314 0.090864 36.897890 6.107218e-01 1.398662e-07
h 0 17 131072 670788 130256 130256 61449 0.993774 0.194184 0.091607 62.597109 1.276062e+00 1.350513e-07
h 0 18 264346 733846 264346 264346 34442 1.000000 0.360220 0.046934 71.246016 2.378182e+00 1.908280e-07
h 0 18 321270 800172 321270 321270 25337 1.000000 0.401501 0.031664 76.058516 2.947669e+00 2.072915e-07
h 0 18 435666 1057066 435666 435666 30874 1.000000 0.412146 0.029207 91.210859 3.901302e+00 2.012788e-07
h 0 20 1070376 2712798 1070376 1070376 101966 1.000000 0.394565 0.037587 237.247421 9.659674e+00 1.839105e-07
h 0 20 1207945 2840208 1207945 1207945 68260 1.000000 0.425302 0.024033 246.519531 1.095408e+01 1.932206e-07
h 0 20 1524453 3897636 1524453 1524453 138012 1.000000 0.391122 0.035409 307.347578 1.444235e+01 1.870891e-07
h 0 20 1890815 4657742 1890815 1890815 150501 1.000000 0.405951 0.032312 353.145859 1.741565e+01 1.840139e-07
h 0 21 2758119 6885658 2758119 2758119 228962 1.000000 0.400560 0.033252 546.817656 2.479556e+01 1.733740e-07
h 0 21 3598623 8778114 3598623 3598623 255307 1.000000 0.409954 0.029084 663.619062 3.308486e+01 1.770759e-07
h 0 22 6262104 15248146 6262104 6262104 452360 1.000000 0.410680 0.029667 1174.543202 5.677955e+01 1.686675e-07
h 0 23 14081816 34292496 14081816 14081816 1008494 1.000000 0.410638 0.029409 2559.387265 1.285721e+02 1.614699e-07
h 0 24 23947347 58333344 23947347 23947347 1718836 1.000000 0.410526 0.029466 4500.828047 2.192319e+02 1.568113e-07
