2 3 3 6.190000e-07 2.063333e-07
3 18 18 2.553000e-06 1.418333e-07
4 81 81 4.569000e-06 5.640741e-08
5 324 324 4.047000e-06 1.249074e-08
6 1215 1215 1.476900e-05 1.215556e-08
7 4374 4374 5.082300e-05 1.161934e-08
8 15309 15309 1.613110e-04 1.053700e-08
9 52488 52488 5.598210e-04 1.066570e-08
10 177147 177147 1.852167e-03 1.045554e-08
11 590490 590490 6.062164e-03 1.026633e-08
12 1948617 1948617 1.986981e-02 1.019688e-08
13 6377292 6377292 6.493095e-02 1.018159e-08
14 20726199 20726199 2.085608e-01 1.006267e-08
15 66961566 66961566 6.752020e-01 1.008343e-08
16 215233605 215233605 2.148188e+00 9.980729e-09
17 688747536 688747536 6.962970e+00 1.010961e-08
18 2195382771 2195382771 2.270798e+01 1.034352e-08
