
1 & 195 & 257 & 13.00 & 64 & 9.65e-04 & 64\\
2 & 387 & 513 & 13.12 & 128 & 3.51e-03 & 128\\
3 & 771 & 1025 & 13.36 & 256 & 1.16e-02 & 256\\
4 & 1539 & 2049 & 13.66 & 512 & 5.19e-02 & 512\\
5 & 3075 & 4097 & 14.45 & 1024 & 2.02e-01 & 1024\\
6 & 6147 & 8193 & 15.95 & 2048 & 9.54e-01 & 2048\\
7 & 12291 & 16385 & 19.04 & 4096 & 3.79e+00 & 4096\\
8 & 24579 & 32769 & 25.17 & 8192 & 1.78e+01 & 8192\\
9 & 49155 & 65537 & 37.32 & 16384 & 8.17e+01 & 16384\\
10 & 98307 & 131073 & 61.64 & 32768 & 3.93e+02 & 32768\\
\textbf{Media} & 19644.00 & 26189.00 & 22.67 & 6547.20 & 4.97e+01 & 6547.20\\
