
1 & 4098 & 64520 & 29.25 & 288 & 4.72e-01 & 19200 & 322 & 5.43e-01 & 1920000\\
2 & 16386 & 260232 & 80.01 & 573 & 5.61e+00 & 38400 & 648 & 6.39e+00 & 3840000\\
3 & 65538 & 1044872 & 283.68 & 1165 & 4.72e+01 & 76800 & 1293 & 5.30e+01 & 7680000\\
4 & 262146 & 4187016 & 1098.45 & 2298 & 3.90e+02 & 153600 & 2580 & 4.32e+02 & 15360000\\
\textbf{Media} & 87042.00 & 1389160.00 & 372.85 & 1081.00 & 1.11e+02 & 72000.00 & 1210.75 & 1.23e+02 & 7200000.00\\
