0 0 0 0.000000e+00 0.000000e+00
1 0 0 3.840000e-07 inf
2 6 6 3.290000e-07 5.483333e-08
3 72 72 2.629000e-06 3.651389e-08
4 648 648 2.205700e-05 3.403858e-08
5 5184 5184 1.808680e-04 3.488966e-08
6 38880 38880 1.735979e-03 4.464967e-08
7 279936 279936 6.683973e-03 2.387679e-08
8 1959552 1959552 4.214001e-02 2.150492e-08
9 13436928 13436928 2.948083e-01 2.194016e-08
10 90699264 90699264 1.939614e+00 2.138511e-08
