0,5,0,0,0.000000e+00,0.000000e+00
1,5,0,0,0.000000e+00,0.000000e+00
2,5,5,5,6.500000e-07,1.300000e-07
3,5,50,50,6.079000e-06,1.215800e-07
4,5,375,375,4.944000e-06,1.318400e-08
5,5,2500,2500,3.879800e-05,1.551920e-08
6,5,15625,15625,1.657380e-04,1.060723e-08
7,5,93750,93750,1.002901e-03,1.069761e-08
8,5,546875,546875,5.575849e-03,1.019584e-08
9,5,3125000,3125000,3.238871e-02,1.036439e-08
10,5,17578125,17578125,1.743975e-01,9.921279e-09
11,5,97656250,97656250,9.463378e-01,9.690499e-09
12,5,537109375,537109375,5.223219e+00,9.724684e-09
