0,4,0,0,0.000000e+00,0.000000e+00
1,4,0,0,0.000000e+00,0.000000e+00
2,4,4,4,1.220000e-07,3.050000e-08
3,4,32,32,8.800000e-07,2.750000e-08
4,4,192,192,4.342000e-06,2.261458e-08
5,4,1024,1024,2.329500e-05,2.274902e-08
6,4,5120,5120,1.142230e-04,2.230918e-08
7,4,24576,24576,5.350910e-04,2.177291e-08
8,4,114688,114688,4.042139e-03,3.524466e-08
9,4,524288,524288,7.927381e-03,1.512028e-08
10,4,2359296,2359296,3.825809e-02,1.621589e-08
11,4,10485760,10485760,1.724786e-01,1.644884e-08
12,4,46137344,46137344,7.464733e-01,1.617937e-08
13,4,201326592,201326592,3.222352e+00,1.600560e-08
14,4,872415232,872415232,1.386361e+01,1.589106e-08
