0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.524000e-06,inf,inf
2,h,0,6,9,2.220000e-06,6.666667e-01,2.466667e-07
3,h,0,20,35,2.042000e-06,5.714286e-01,5.834286e-08
4,h,0,54,90,4.025000e-06,6.000000e-01,4.472222e-08
5,h,0,132,248,8.547000e-06,5.322581e-01,3.446371e-08
6,h,0,306,567,1.748900e-05,5.396825e-01,3.084480e-08
7,h,0,688,1397,3.479000e-05,4.924839e-01,2.490336e-08
8,h,0,1518,3060,6.962300e-05,4.960784e-01,2.275261e-08
9,h,0,3308,6643,1.685780e-04,4.979678e-01,2.537679e-08
10,h,0,7146,15345,2.937710e-04,4.656891e-01,1.914441e-08
11,h,0,15336,32752,6.060630e-04,4.682462e-01,1.850461e-08
12,h,0,32742,73710,1.249945e-03,4.442002e-01,1.695760e-08
13,h,0,69604,155629,3.912428e-03,4.472431e-01,2.513945e-08
14,h,0,147426,344043,5.910835e-03,4.285104e-01,1.718051e-08
15,h,0,311264,720874,1.440261e-02,4.317870e-01,1.997938e-08
16,h,0,655326,1572840,2.660616e-02,4.166514e-01,1.691600e-08
17,h,0,1376220,3276775,4.488673e-02,4.199922e-01,1.369845e-08
18,h,0,2883546,6815718,1.129771e-01,4.230730e-01,1.657596e-08
19,h,0,6029272,14680036,2.301380e-01,4.107123e-01,1.567694e-08
20,h,0,12582870,30408675,3.839656e-01,4.137921e-01,1.262684e-08
21,h,0,26214356,65011681,7.843803e-01,4.032253e-01,1.206522e-08
22,h,0,54525906,134217696,1.916492e+00,4.062498e-01,1.427898e-08
23,h,0,113246160,285212638,3.910989e+00,3.970587e-01,1.371254e-08
24,h,0,234880974,587202525,6.683240e+00,3.999999e-01,1.138149e-08
25,h,0,486539212,1241513947,1.624066e+01,3.918919e-01,1.308134e-08
26,h,0,1006632906,2550136794,3.316265e+01,3.947368e-01,1.300426e-08
