0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.443000e-06,inf,inf
2,h,0,6,9,2.330000e-06,6.666667e-01,2.588889e-07
3,h,0,20,35,2.009000e-06,5.714286e-01,5.740000e-08
4,h,0,54,90,3.859000e-06,6.000000e-01,4.287778e-08
5,h,0,132,248,7.963000e-06,5.322581e-01,3.210887e-08
6,h,0,306,567,1.594400e-05,5.396825e-01,2.811993e-08
7,h,0,688,1397,3.300700e-05,4.924839e-01,2.362706e-08
8,h,0,1518,3060,6.663400e-05,4.960784e-01,2.177582e-08
9,h,0,3308,6643,1.374130e-04,4.979678e-01,2.068538e-08
10,h,0,7146,15345,2.929970e-04,4.656891e-01,1.909397e-08
11,h,0,15336,32752,5.832150e-04,4.682462e-01,1.780700e-08
12,h,0,32742,73710,1.198964e-03,4.442002e-01,1.626596e-08
13,h,0,69604,155629,3.314528e-03,4.472431e-01,2.129762e-08
14,h,0,147426,344043,5.738724e-03,4.285104e-01,1.668025e-08
15,h,0,311264,720874,1.427575e-02,4.317870e-01,1.980340e-08
16,h,0,655326,1572840,2.598905e-02,4.166514e-01,1.652365e-08
17,h,0,1376220,3276775,4.352635e-02,4.199922e-01,1.328329e-08
18,h,0,2883546,6815718,1.106294e-01,4.230730e-01,1.623151e-08
19,h,0,6029272,14680036,2.256052e-01,4.107123e-01,1.536816e-08
20,h,0,12582870,30408675,3.711511e-01,4.137921e-01,1.220543e-08
21,h,0,26214356,65011681,7.568285e-01,4.032253e-01,1.164142e-08
22,h,0,54525906,134217696,1.878895e+00,4.062498e-01,1.399886e-08
23,h,0,113246160,285212638,3.830371e+00,3.970587e-01,1.342988e-08
24,h,0,234880974,587202525,6.508137e+00,3.999999e-01,1.108329e-08
25,h,0,486539212,1241513947,1.593798e+01,3.918919e-01,1.283754e-08
26,h,0,1006632906,2550136794,3.263871e+01,3.947368e-01,1.279881e-08
