0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.362000e-06,inf,inf
2,h,0,6,9,2.147000e-06,6.666667e-01,2.385556e-07
3,h,0,20,35,2.006000e-06,5.714286e-01,5.731429e-08
4,h,0,54,90,3.915000e-06,6.000000e-01,4.350000e-08
5,h,0,132,248,8.003000e-06,5.322581e-01,3.227016e-08
6,h,0,306,567,1.643300e-05,5.396825e-01,2.898236e-08
7,h,0,688,1397,3.291300e-05,4.924839e-01,2.355977e-08
8,h,0,1518,3060,6.670900e-05,4.960784e-01,2.180033e-08
9,h,0,3308,6643,1.366190e-04,4.979678e-01,2.056586e-08
10,h,0,7146,15345,2.781080e-04,4.656891e-01,1.812369e-08
11,h,0,15336,32752,5.780120e-04,4.682462e-01,1.764814e-08
12,h,0,32742,73710,1.196876e-03,4.442002e-01,1.623763e-08
13,h,0,69604,155629,3.773104e-03,4.472431e-01,2.424422e-08
14,h,0,147426,344043,5.741808e-03,4.285104e-01,1.668922e-08
15,h,0,311264,720874,1.410210e-02,4.317870e-01,1.956250e-08
16,h,0,655326,1572840,2.608788e-02,4.166514e-01,1.658648e-08
17,h,0,1376220,3276775,4.363072e-02,4.199922e-01,1.331514e-08
18,h,0,2883546,6815718,1.104166e-01,4.230730e-01,1.620030e-08
19,h,0,6029272,14680036,2.252335e-01,4.107123e-01,1.534284e-08
20,h,0,12582870,30408675,3.718004e-01,4.137921e-01,1.222679e-08
21,h,0,26214356,65011681,7.590990e-01,4.032253e-01,1.167635e-08
22,h,0,54525906,134217696,1.888144e+00,4.062498e-01,1.406777e-08
23,h,0,113246160,285212638,3.854272e+00,3.970587e-01,1.351368e-08
24,h,0,234880974,587202525,6.524606e+00,3.999999e-01,1.111134e-08
25,h,0,486539212,1241513947,1.607103e+01,3.918919e-01,1.294470e-08
26,h,0,1006632906,2550136794,3.291824e+01,3.947368e-01,1.290842e-08
