0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.254000e-06,inf,inf
2,h,0,6,9,2.349000e-06,6.666667e-01,2.610000e-07
3,h,0,20,35,1.974000e-06,5.714286e-01,5.640000e-08
4,h,0,54,90,3.901000e-06,6.000000e-01,4.334444e-08
5,h,0,132,248,8.189000e-06,5.322581e-01,3.302016e-08
6,h,0,306,567,1.625300e-05,5.396825e-01,2.866490e-08
7,h,0,688,1397,3.338500e-05,4.924839e-01,2.389764e-08
8,h,0,1518,3060,6.730700e-05,4.960784e-01,2.199575e-08
9,h,0,3308,6643,1.380980e-04,4.979678e-01,2.078850e-08
10,h,0,7146,15345,2.825540e-04,4.656891e-01,1.841342e-08
11,h,0,15336,32752,6.878210e-04,4.682462e-01,2.100089e-08
12,h,0,32742,73710,1.395024e-03,4.442002e-01,1.892584e-08
13,h,0,69604,155629,3.814251e-03,4.472431e-01,2.450861e-08
14,h,0,147426,344043,5.424680e-03,4.285104e-01,1.576745e-08
15,h,0,311264,720874,1.418708e-02,4.317870e-01,1.968038e-08
16,h,0,655326,1572840,2.628983e-02,4.166514e-01,1.671488e-08
17,h,0,1376220,3276775,4.384790e-02,4.199922e-01,1.338142e-08
18,h,0,2883546,6815718,1.117059e-01,4.230730e-01,1.638946e-08
19,h,0,6029272,14680036,2.268516e-01,4.107123e-01,1.545307e-08
20,h,0,12582870,30408675,3.745124e-01,4.137921e-01,1.231597e-08
21,h,0,26214356,65011681,7.631526e-01,4.032253e-01,1.173870e-08
22,h,0,54525906,134217696,1.888797e+00,4.062498e-01,1.407263e-08
23,h,0,113246160,285212638,3.856333e+00,3.970587e-01,1.352091e-08
24,h,0,234880974,587202525,6.538843e+00,3.999999e-01,1.113558e-08
25,h,0,486539212,1241513947,1.608495e+01,3.918919e-01,1.295592e-08
26,h,0,1006632906,2550136794,3.284025e+01,3.947368e-01,1.287784e-08
