0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.368000e-06,inf,inf
2,h,0,6,9,2.328000e-06,6.666667e-01,2.586667e-07
3,h,0,20,35,1.967000e-06,5.714286e-01,5.620000e-08
4,h,0,54,90,3.889000e-06,6.000000e-01,4.321111e-08
5,h,0,132,248,8.030000e-06,5.322581e-01,3.237903e-08
6,h,0,306,567,1.604700e-05,5.396825e-01,2.830159e-08
7,h,0,688,1397,3.359300e-05,4.924839e-01,2.404653e-08
8,h,0,1518,3060,6.729200e-05,4.960784e-01,2.199085e-08
9,h,0,3308,6643,1.374600e-04,4.979678e-01,2.069246e-08
10,h,0,7146,15345,3.007130e-04,4.656891e-01,1.959681e-08
11,h,0,15336,32752,5.842740e-04,4.682462e-01,1.783934e-08
12,h,0,32742,73710,1.199014e-03,4.442002e-01,1.626664e-08
13,h,0,69604,155629,3.309014e-03,4.472431e-01,2.126219e-08
14,h,0,147426,344043,5.773021e-03,4.285104e-01,1.677994e-08
15,h,0,311264,720874,1.426334e-02,4.317870e-01,1.978618e-08
16,h,0,655326,1572840,2.622348e-02,4.166514e-01,1.667269e-08
17,h,0,1376220,3276775,4.390883e-02,4.199922e-01,1.340001e-08
18,h,0,2883546,6815718,1.109248e-01,4.230730e-01,1.627485e-08
19,h,0,6029272,14680036,2.255309e-01,4.107123e-01,1.536310e-08
20,h,0,12582870,30408675,3.737509e-01,4.137921e-01,1.229093e-08
21,h,0,26214356,65011681,7.625608e-01,4.032253e-01,1.172960e-08
22,h,0,54525906,134217696,1.885775e+00,4.062498e-01,1.405012e-08
23,h,0,113246160,285212638,3.845707e+00,3.970587e-01,1.348365e-08
24,h,0,234880974,587202525,6.525674e+00,3.999999e-01,1.111316e-08
25,h,0,486539212,1241513947,1.603515e+01,3.918919e-01,1.291580e-08
26,h,0,1006632906,2550136794,3.286060e+01,3.947368e-01,1.288582e-08
