0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.408000e-06,inf,inf
2,h,0,6,9,2.215000e-06,6.666667e-01,2.461111e-07
3,h,0,20,35,1.998000e-06,5.714286e-01,5.708571e-08
4,h,0,54,90,3.878000e-06,6.000000e-01,4.308889e-08
5,h,0,132,248,8.104000e-06,5.322581e-01,3.267742e-08
6,h,0,306,567,1.621500e-05,5.396825e-01,2.859788e-08
7,h,0,688,1397,3.310000e-05,4.924839e-01,2.369363e-08
8,h,0,1518,3060,6.670200e-05,4.960784e-01,2.179804e-08
9,h,0,3308,6643,1.366550e-04,4.979678e-01,2.057128e-08
10,h,0,7146,15345,2.829940e-04,4.656891e-01,1.844210e-08
11,h,0,15336,32752,6.113240e-04,4.682462e-01,1.866524e-08
12,h,0,32742,73710,1.206200e-03,4.442002e-01,1.636413e-08
13,h,0,69604,155629,3.607527e-03,4.472431e-01,2.318030e-08
14,h,0,147426,344043,5.781695e-03,4.285104e-01,1.680515e-08
15,h,0,311264,720874,1.416985e-02,4.317870e-01,1.965649e-08
16,h,0,655326,1572840,2.608435e-02,4.166514e-01,1.658423e-08
17,h,0,1376220,3276775,4.349097e-02,4.199922e-01,1.327249e-08
18,h,0,2883546,6815718,1.102039e-01,4.230730e-01,1.616909e-08
19,h,0,6029272,14680036,2.244370e-01,4.107123e-01,1.528858e-08
20,h,0,12582870,30408675,3.721546e-01,4.137921e-01,1.223844e-08
21,h,0,26214356,65011681,7.587796e-01,4.032253e-01,1.167143e-08
22,h,0,54525906,134217696,1.878454e+00,4.062498e-01,1.399558e-08
23,h,0,113246160,285212638,3.827810e+00,3.970587e-01,1.342090e-08
24,h,0,234880974,587202525,6.485930e+00,3.999999e-01,1.104547e-08
25,h,0,486539212,1241513947,1.592974e+01,3.918919e-01,1.283090e-08
26,h,0,1006632906,2550136794,3.263423e+01,3.947368e-01,1.279705e-08
