0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.397000e-06,inf,inf
2,h,0,6,9,2.193000e-06,6.666667e-01,2.436667e-07
3,h,0,20,35,1.938000e-06,5.714286e-01,5.537143e-08
4,h,0,54,90,3.972000e-06,6.000000e-01,4.413333e-08
5,h,0,132,248,8.058000e-06,5.322581e-01,3.249194e-08
6,h,0,306,567,1.599500e-05,5.396825e-01,2.820988e-08
7,h,0,688,1397,3.238400e-05,4.924839e-01,2.318110e-08
8,h,0,1518,3060,6.596800e-05,4.960784e-01,2.155817e-08
9,h,0,3308,6643,1.357270e-04,4.979678e-01,2.043158e-08
10,h,0,7146,15345,3.046400e-04,4.656891e-01,1.985272e-08
11,h,0,15336,32752,5.775970e-04,4.682462e-01,1.763547e-08
12,h,0,32742,73710,1.192794e-03,4.442002e-01,1.618225e-08
13,h,0,69604,155629,3.298797e-03,4.472431e-01,2.119654e-08
14,h,0,147426,344043,5.698735e-03,4.285104e-01,1.656402e-08
15,h,0,311264,720874,1.421689e-02,4.317870e-01,1.972174e-08
16,h,0,655326,1572840,2.602641e-02,4.166514e-01,1.654740e-08
17,h,0,1376220,3276775,4.323499e-02,4.199922e-01,1.319437e-08
18,h,0,2883546,6815718,1.106358e-01,4.230730e-01,1.623245e-08
19,h,0,6029272,14680036,2.254256e-01,4.107123e-01,1.535593e-08
20,h,0,12582870,30408675,3.717746e-01,4.137921e-01,1.222594e-08
21,h,0,26214356,65011681,7.575940e-01,4.032253e-01,1.165320e-08
22,h,0,54525906,134217696,1.877214e+00,4.062498e-01,1.398634e-08
23,h,0,113246160,285212638,3.827785e+00,3.970587e-01,1.342081e-08
24,h,0,234880974,587202525,6.494560e+00,3.999999e-01,1.106017e-08
25,h,0,486539212,1241513947,1.595424e+01,3.918919e-01,1.285063e-08
26,h,0,1006632906,2550136794,3.266875e+01,3.947368e-01,1.281059e-08
