0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.534000e-06,inf,inf
2,h,0,6,9,2.174000e-06,6.666667e-01,2.415556e-07
3,h,0,20,35,1.928000e-06,5.714286e-01,5.508571e-08
4,h,0,54,90,3.860000e-06,6.000000e-01,4.288889e-08
5,h,0,132,248,7.990000e-06,5.322581e-01,3.221774e-08
6,h,0,306,567,1.584200e-05,5.396825e-01,2.794004e-08
7,h,0,688,1397,3.249100e-05,4.924839e-01,2.325770e-08
8,h,0,1518,3060,6.682700e-05,4.960784e-01,2.183889e-08
9,h,0,3308,6643,1.355950e-04,4.979678e-01,2.041171e-08
10,h,0,7146,15345,3.266400e-04,4.656891e-01,2.128641e-08
11,h,0,15336,32752,6.615190e-04,4.682462e-01,2.019782e-08
12,h,0,32742,73710,1.367246e-03,4.442002e-01,1.854899e-08
13,h,0,69604,155629,3.784838e-03,4.472431e-01,2.431962e-08
14,h,0,147426,344043,5.320318e-03,4.285104e-01,1.546411e-08
15,h,0,311264,720874,1.415184e-02,4.317870e-01,1.963151e-08
16,h,0,655326,1572840,2.607629e-02,4.166514e-01,1.657911e-08
17,h,0,1376220,3276775,4.352676e-02,4.199922e-01,1.328341e-08
18,h,0,2883546,6815718,1.103428e-01,4.230730e-01,1.618946e-08
19,h,0,6029272,14680036,2.244772e-01,4.107123e-01,1.529132e-08
20,h,0,12582870,30408675,3.704678e-01,4.137921e-01,1.218296e-08
21,h,0,26214356,65011681,7.548466e-01,4.032253e-01,1.161094e-08
22,h,0,54525906,134217696,1.873388e+00,4.062498e-01,1.395783e-08
23,h,0,113246160,285212638,3.819503e+00,3.970587e-01,1.339177e-08
24,h,0,234880974,587202525,6.454169e+00,3.999999e-01,1.099138e-08
25,h,0,486539212,1241513947,1.589195e+01,3.918919e-01,1.280046e-08
26,h,0,1006632906,2550136794,3.254042e+01,3.947368e-01,1.276027e-08
