0,h,0,0,0,0.000000e+00,0.000000e+00
1,h,0,1,0,7.276000e-06,inf,inf
2,h,0,6,9,2.232000e-06,6.666667e-01,2.480000e-07
3,h,0,20,35,2.027000e-06,5.714286e-01,5.791429e-08
4,h,0,54,90,3.957000e-06,6.000000e-01,4.396667e-08
5,h,0,132,248,8.113000e-06,5.322581e-01,3.271371e-08
6,h,0,306,567,1.630700e-05,5.396825e-01,2.876014e-08
7,h,0,688,1397,3.331100e-05,4.924839e-01,2.384467e-08
8,h,0,1518,3060,6.656300e-05,4.960784e-01,2.175261e-08
9,h,0,3308,6643,1.364610e-04,4.979678e-01,2.054207e-08
10,h,0,7146,15345,3.522700e-04,4.656891e-01,2.295666e-08
11,h,0,15336,32752,6.690950e-04,4.682462e-01,2.042913e-08
12,h,0,32742,73710,1.377224e-03,4.442002e-01,1.868436e-08
13,h,0,69604,155629,3.738980e-03,4.472431e-01,2.402496e-08
14,h,0,147426,344043,5.275929e-03,4.285104e-01,1.533509e-08
15,h,0,311264,720874,1.408234e-02,4.317870e-01,1.953509e-08
16,h,0,655326,1572840,2.602880e-02,4.166514e-01,1.654892e-08
17,h,0,1376220,3276775,4.331361e-02,4.199922e-01,1.321837e-08
18,h,0,2883546,6815718,1.101204e-01,4.230730e-01,1.615683e-08
19,h,0,6029272,14680036,2.238066e-01,4.107123e-01,1.524565e-08
20,h,0,12582870,30408675,3.695141e-01,4.137921e-01,1.215160e-08
21,h,0,26214356,65011681,7.529037e-01,4.032253e-01,1.158105e-08
22,h,0,54525906,134217696,1.857653e+00,4.062498e-01,1.384060e-08
23,h,0,113246160,285212638,3.781171e+00,3.970587e-01,1.325737e-08
24,h,0,234880974,587202525,6.427578e+00,3.999999e-01,1.094610e-08
25,h,0,486539212,1241513947,1.576990e+01,3.918919e-01,1.270215e-08
26,h,0,1006632906,2550136794,3.233753e+01,3.947368e-01,1.268070e-08
