2 2 2.01e-08 5.56e-08
8 24 4.33e-09 2.88e-07
16 62 4.53e-09 9.79e-07
32 150 4.68e-09 2.95e-06
64 331 4.38e-09 7.20e-06
128 749 4.01e-09 1.71e-05
256 1679 4.45e-09 4.78e-05
512 3709 3.23e-09 8.52e-05
1024 8128 3.95e-09 2.51e-04
2048 17670 2.97e-09 4.46e-04
4096 38174 2.72e-09 9.55e-04
8192 82021 3.13e-09 2.54e-03
16384 175398 3.04e-09 5.67e-03
32768 373480 3.10e-09 1.31e-02
65536 792368 3.34e-09 3.18e-02
131072 1675587 3.19e-09 6.80e-02
262144 3532864 3.34e-09 1.58e-01
524288 7429088 4.11e-09 4.31e-01
1048576 15584965 4.28e-09 9.88e-01
