2 2 1.82e-08 5.05e-08
8 24 4.02e-09 2.67e-07
16 62 4.16e-09 9.00e-07
32 150 4.31e-09 2.72e-06
64 331 3.79e-09 6.23e-06
128 749 3.23e-09 1.37e-05
256 1679 2.91e-09 3.12e-05
512 3709 2.67e-09 7.04e-05
1024 8128 2.43e-09 1.54e-04
2048 17670 2.38e-09 3.58e-04
4096 38174 2.12e-09 7.44e-04
8192 82021 2.31e-09 1.88e-03
16384 175398 2.40e-09 4.47e-03
32768 373480 2.39e-09 1.01e-02
65536 792368 2.34e-09 2.23e-02
131072 1675587 2.36e-09 5.03e-02
262144 3532864 2.69e-09 1.27e-01
524288 7429088 3.11e-09 3.25e-01
1048576 15584965 3.30e-09 7.61e-01
